Subset,Image,Model,CIEDE2000,Delta_uv_prime,Duv,EML,BlueEnergyPerPixel
camera,camera_0.png,compensation_once,18.7086,0.0799,-0.0016,108.5755,20492.259273
camera,camera_0.png,compensation_twice,13.1170,0.0337,0.0150,145.2313,49083.638041
camera,camera_10.png,compensation_once,19.8322,0.0788,-0.0005,101.7118,22553.990098
camera,camera_10.png,compensation_twice,15.0365,0.0449,0.0165,133.4611,47464.477910
camera,camera_10.png,pure_transform_2700k,19.8980,0.0863,-0.0023,95.0803,20848.355806
camera,camera_11.png,compensation_once,18.7627,0.0794,-0.0054,122.5481,20271.626515
camera,camera_11.png,compensation_twice,16.9825,0.0565,0.0113,139.6095,33348.340778
camera,camera_11.png,pure_transform_2700k,19.0398,0.0830,-0.0040,111.5542,17366.374839
camera,camera_12.png,compensation_once,19.2421,0.0867,-0.0024,122.4193,20987.220946
camera,camera_12.png,compensation_twice,16.5535,0.0536,0.0152,149.4246,41036.884683
camera,camera_12.png,pure_transform_2700k,21.1568,0.0940,-0.0011,111.7641,17435.143303
camera,camera_13.png,compensation_once,18.7990,0.0715,-0.0024,105.6969,19143.928767
camera,camera_13.png,compensation_twice,13.1224,0.0293,0.0036,129.3159,32668.109235
camera,camera_13.png,pure_transform_2700k,17.8889,0.0837,-0.0053,95.1668,18508.025029
camera,camera_14.png,compensation_once,19.7127,0.0769,-0.0027,98.5036,23086.337620
camera,camera_14.png,compensation_twice,13.8811,0.0338,0.0061,128.0637,45279.906236
camera,camera_14.png,pure_transform_2700k,19.2979,0.0862,-0.0044,92.9084,22037.259760
camera,camera_15.png,compensation_once,17.1498,0.0727,0.0017,108.0951,20735.451962
camera,camera_15.png,compensation_twice,13.1368,0.0319,0.0126,132.0001,37887.247418
camera,camera_15.png,pure_transform_2700k,16.8850,0.0758,0.0020,100.8148,19424.856673
camera,camera_16.png,compensation_once,20.1797,0.0828,0.0020,113.9678,21915.553303
camera,camera_16.png,compensation_twice,15.6232,0.0515,0.0180,141.3800,42641.048405
camera,camera_16.png,pure_transform_2700k,20.9144,0.0911,-0.0013,105.8142,18178.725530
