SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 15:22:46
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,       165.7998
300.89,       166.1504
301.51,       137.8311
302.13,       94.25537
302.75,       57.31348
303.37,        34.9043
303.99,       19.83398
304.62,       10.74268
305.24,       5.713379
305.86,       3.703613
306.48,       8.703613
307.11,       16.29395
307.73,       17.70215
308.36,       11.50586
308.98,      -1.859863
309.61,      -12.59326
310.23,      -4.191895
310.86,        25.5918
311.48,       71.55566
312.11,       117.2388
312.74,       136.6338
313.36,       124.2441
313.99,       87.40088
314.62,       45.15771
315.25,       28.27148
315.88,       43.69043
316.51,       81.89258
317.14,       123.4644
317.77,       137.4258
318.40,       116.2979
319.03,       70.04102
319.66,        16.0918
320.29,      -17.78125
320.93,       -24.7627
321.56,      -14.33252
322.19,    0.004882813
322.83,      -3.462402
323.46,      -29.01416
324.10,      -65.72217
324.73,      -104.2036
325.37,      -130.6582
326.00,      -139.8438
326.64,      -138.0269
327.27,      -122.9434
327.91,       -90.0332
328.55,      -43.19189
329.19,       13.47021
329.83,       64.29883
330.46,       83.90674
331.10,       68.46631
331.74,       28.38574
332.38,      -22.04395
333.02,      -58.90039
333.66,      -73.22656
334.31,      -72.25195
334.95,      -53.07422
335.59,      -12.00586
336.23,       46.37744
336.87,       119.1318
337.52,       185.6636
338.16,        212.915
338.81,       194.1387
339.45,       137.9419
340.09,       66.20752
340.74,       15.95801
341.39,      -1.692871
342.03,       4.629395
342.68,       21.79639
343.33,       27.12109
343.97,       15.00879
344.62,      -5.377441
345.27,      -24.90723
345.92,      -29.87109
346.57,      -18.08008
347.22,       1.676758
347.87,       23.60449
348.52,       39.72412
349.17,       47.08203
349.82,       50.91406
350.47,       46.38379
351.12,       25.51855
351.77,      -9.865723
352.43,      -57.27295
353.08,      -96.34668
353.73,      -94.82813
354.39,      -47.82666
355.04,       34.87793
355.70,       123.6968
356.35,       170.9248
357.01,       164.5405
357.66,       116.4048
358.32,       54.46289
358.98,       24.80029
359.63,       38.69531
360.29,       82.24414
360.95,       129.2783
361.61,       138.1382
362.27,        100.229
362.93,       31.93408
363.59,      -40.14746
364.25,      -75.51514
364.91,      -63.29443
365.57,      -16.62939
366.23,       43.83838
366.89,       86.13135
367.55,       99.37402
368.22,       90.59521
368.88,       73.03027
369.54,       67.67578
370.21,       79.57568
370.87,        102.415
371.54,       119.2524
372.20,       104.5342
372.87,       55.07666
373.53,      -18.98975
374.20,      -90.53711
374.87,      -117.8369
375.53,      -92.08008
376.20,      -25.66309
376.87,        51.5376
377.54,        91.1416
378.21,       81.51025
378.87,       37.36865
379.54,      -14.83887
380.21,      -32.22461
380.88,      -4.688477
381.56,       51.49121
382.23,       114.9712
382.90,       153.0806
383.57,       155.6626
384.24,       133.4546
384.92,       97.62109
385.59,       64.95215
386.26,       42.58496
386.94,       27.11816
387.61,       15.57471
388.29,       3.365723
388.96,      -9.440918
389.64,      -19.13477
390.31,       -19.4458
390.99,      -1.585938
391.67,       33.45361
392.34,       78.14014
393.02,       122.2173
393.70,       150.4268
394.38,       157.8784
395.06,       149.9019
395.74,       127.0596
396.42,       91.01904
397.10,       46.55127
397.78,      -4.767578
398.46,      -48.79102
399.14,      -63.34326
399.82,       -45.2373
400.50,      -1.346191
401.19,             51
401.87,       82.30762
402.55,       85.14355
403.24,       69.28467
403.92,       44.40527
404.61,       27.02344
405.29,       23.30176
405.98,       26.34375
406.66,       38.78467
407.35,       65.80615
408.03,       104.5117
408.72,       151.9814
409.41,       193.6108
410.10,       205.4131
410.79,       182.9688
411.47,       134.4668
412.16,       74.20898
412.85,       25.87354
413.54,      -1.643555
414.23,      -12.87793
414.92,      -10.47705
415.61,    -0.04443359
416.31,       15.34277
417.00,       37.37646
417.69,       63.35107
418.38,        88.3623
419.08,       109.6611
419.77,       125.1172
420.46,       134.5615
421.16,       139.4849
421.85,       140.8013
422.55,       139.8438
423.24,       135.9082
423.94,       127.3066
424.64,       116.2729
425.33,       105.9448
426.03,        103.752
426.73,       120.8594
427.42,       157.9253
428.12,       208.3145
428.82,       263.5918
429.52,       310.7734
430.22,       343.7568
430.92,        364.666
431.62,       370.6387
432.32,       358.0225
433.02,       329.8691
433.72,       290.7939
434.43,        252.479
435.13,       233.1265
435.83,       238.8877
436.53,       266.7007
437.24,       312.8862
437.94,       369.5366
438.65,       432.0122
439.35,       500.8096
440.06,       571.2212
440.76,       636.3281
441.47,       694.3447
442.17,       745.8184
442.88,       795.3062
443.59,       851.1377
444.29,       917.3936
445.00,       995.1626
445.71,       1083.346
446.42,       1178.892
447.13,       1281.769
447.84,       1392.877
448.55,        1517.47
449.26,       1663.262
449.97,       1828.563
450.68,       2006.427
451.39,       2181.484
452.10,       2331.807
452.82,       2448.449
453.53,       2530.904
454.24,       2588.158
454.95,       2637.338
455.67,       2681.764
456.38,       2717.112
457.10,       2727.723
457.81,       2689.221
458.53,        2600.02
459.24,       2471.705
459.96,       2332.949
460.68,        2227.25
461.39,       2166.012
462.11,       2139.977
462.83,       2123.164
463.55,       2071.438
464.27,       1976.237
464.98,       1854.213
465.70,        1731.86
466.42,       1651.364
467.14,       1621.774
467.86,       1624.835
468.58,       1642.203
469.31,       1645.303
470.03,       1624.254
470.75,       1590.816
471.47,       1542.661
472.20,       1475.969
472.92,       1394.876
473.64,       1298.463
474.37,       1211.143
475.09,       1173.517
475.82,       1190.181
476.54,       1248.199
477.27,       1310.216
477.99,       1314.308
478.72,       1247.997
479.45,       1133.588
480.17,       1004.009
480.90,       913.2441
481.63,       877.3384
482.36,       877.1499
483.09,         902.77
483.81,       937.8467
484.54,       972.7515
485.27,        1015.09
486.00,       1048.159
486.73,       1043.636
487.47,       999.6563
488.20,       922.8027
488.93,       845.9907
489.66,       824.9023
490.39,       869.6997
491.13,       961.4204
491.86,       1064.855
492.59,       1122.449
493.33,       1118.501
494.06,       1071.985
494.80,       1003.609
495.53,       946.5059
496.27,       914.3091
497.00,       898.5845
497.74,        898.375
498.48,       912.5039
499.22,       938.4702
499.95,        977.543
500.69,       1025.283
501.43,       1072.648
502.17,       1114.644
502.91,       1149.146
503.65,        1173.06
504.39,       1183.988
505.13,       1182.316
505.87,       1169.986
506.61,       1150.757
507.35,       1130.705
508.09,           1114
508.83,       1102.087
509.58,       1098.749
510.32,       1108.656
511.06,       1131.552
511.81,       1164.578
512.55,       1203.172
513.30,       1239.501
514.04,       1270.359
514.79,       1297.758
515.53,       1318.428
516.28,       1328.159
517.02,       1327.997
517.77,       1318.843
518.52,       1311.807
519.27,       1325.491
520.01,       1361.786
520.76,       1413.307
521.51,       1465.479
522.26,       1493.946
523.01,        1493.71
523.76,       1475.723
524.51,       1447.875
525.26,        1422.89
526.01,       1407.559
526.76,       1397.302
527.51,       1402.297
528.27,       1438.885
529.02,       1505.528
529.77,       1595.183
530.52,       1682.183
531.28,       1724.915
532.03,       1714.659
532.79,       1664.361
533.54,       1597.558
534.30,       1553.719
535.05,       1545.241
535.81,       1561.165
536.56,       1592.981
537.32,       1625.547
538.08,       1653.556
538.83,       1684.908
539.59,        1716.59
540.35,       1742.422
541.11,       1761.856
541.87,       1772.467
542.63,       1785.963
543.39,       1822.947
544.15,       1885.608
544.91,       1967.785
545.67,       2046.756
546.43,       2086.407
547.19,       2079.362
547.95,       2035.758
548.71,       1983.439
549.48,       1967.122
550.24,       1997.756
551.00,       2063.467
551.77,       2135.995
552.53,       2169.865
553.29,       2154.775
554.06,       2105.339
554.82,       2052.235
555.59,       2043.035
556.36,       2089.709
557.12,       2179.021
557.89,       2279.756
558.66,       2342.554
559.42,       2355.935
560.19,       2333.975
560.96,       2310.317
561.73,       2338.861
562.50,       2428.762
563.27,       2558.379
564.04,       2688.216
564.81,       2756.793
565.58,       2749.606
566.35,       2688.667
567.12,       2605.157
567.89,       2548.456
568.66,       2535.014
569.43,       2550.534
570.21,       2583.496
570.98,       2615.331
571.75,       2637.953
572.53,       2657.705
573.30,       2673.757
574.07,       2683.047
574.85,       2684.896
575.62,       2677.441
576.40,       2661.548
577.17,       2640.962
577.95,       2617.856
578.73,       2593.134
579.50,       2569.094
580.28,       2548.583
581.06,         2532.3
581.84,       2519.396
582.62,       2508.786
583.39,       2498.482
584.17,       2486.566
584.95,       2472.519
585.73,       2454.443
586.51,       2428.805
587.29,       2397.234
588.07,       2364.936
588.86,       2333.551
589.64,       2306.058
590.42,       2283.712
591.20,       2261.735
591.98,       2251.173
592.77,       2269.445
593.55,       2315.019
594.33,       2381.743
595.12,       2435.435
595.90,       2422.193
596.69,        2333.94
597.47,       2188.241
598.26,       2032.659
599.04,        1943.87
599.83,       1940.788
600.62,       2002.094
601.40,        2085.85
602.19,       2123.067
602.98,       2095.492
603.77,       2024.888
604.55,       1943.151
605.34,       1900.676
606.13,       1910.643
606.92,       1954.478
607.71,       2007.947
608.50,       2034.717
609.29,       2024.353
610.08,       1989.154
610.87,       1945.916
611.67,       1920.098
612.46,       1918.392
613.25,       1931.349
614.04,        1945.35
614.84,       1940.113
615.63,       1910.387
616.42,        1863.27
617.22,       1810.508
618.01,       1769.984
618.81,       1746.496
619.60,       1734.866
620.40,       1725.338
621.19,       1702.184
621.99,       1662.861
622.78,       1614.726
623.58,       1567.956
624.38,       1538.163
625.18,       1528.839
625.97,       1532.687
626.77,       1543.882
627.57,        1553.65
628.37,       1557.128
629.17,       1556.229
629.97,       1545.757
630.77,       1517.741
631.57,       1472.433
632.37,       1412.419
633.17,       1348.825
633.97,       1300.406
634.77,        1271.23
635.58,       1255.722
636.38,       1245.245
637.18,       1224.431
637.98,       1189.689
638.79,       1148.456
639.59,       1102.699
640.40,       1055.542
641.20,       1009.726
642.00,       962.3628
642.81,       924.2109
643.62,       912.5659
644.42,       928.7769
645.23,       968.7554
646.03,       1008.946
646.84,       1011.453
647.65,       968.7261
648.46,       890.4595
649.26,        807.394
650.07,         769.29
650.88,       787.4214
651.69,       847.8467
652.50,       916.1689
653.31,       937.4858
654.12,       898.6045
