SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 14:07:17
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,       133.4736
300.89,       141.9233
301.51,       115.4502
302.13,       71.96191
302.75,       40.63184
303.37,       31.10449
303.99,       34.69238
304.62,       43.44922
305.24,       45.19824
305.86,       36.68896
306.48,       23.99268
307.11,       12.65527
307.73,       9.790039
308.36,       16.61914
308.98,       28.85352
309.61,       41.38623
310.23,       47.09473
310.86,       43.87061
311.48,       34.54346
312.11,       21.45898
312.74,       8.005859
313.36,       -3.21582
313.99,      -11.81689
314.62,      -15.95703
315.25,      -12.60791
315.88,      -2.068359
316.51,       12.95996
317.14,       31.57227
317.77,       52.11328
318.40,       72.41064
319.03,       92.80957
319.66,       105.9365
320.29,       100.2388
320.93,       76.06836
321.56,       38.84814
322.19,       3.152344
322.83,      -7.301758
323.46,       11.71094
324.10,       50.32373
324.73,       96.69629
325.37,       131.4355
326.00,       147.0557
326.64,        149.623
327.27,       136.1738
327.91,       102.6348
328.55,       52.22998
329.19,      -12.68701
329.83,      -74.41748
330.46,      -104.9365
331.10,      -97.38135
331.74,      -56.64844
332.38,      -2.067383
333.02,       33.50684
333.66,       41.15527
334.31,       27.29688
334.95,       10.22412
335.59,       21.00391
336.23,       63.38867
336.87,       123.0405
337.52,       175.5186
338.16,       182.9346
338.81,        138.709
339.45,        60.9502
340.09,      -30.03174
340.74,      -102.9067
341.39,      -145.0869
342.03,       -165.688
342.68,        -161.27
343.33,      -127.0161
343.97,      -68.69824
344.62,       9.724609
345.27,       84.80078
345.92,       117.9824
346.57,       101.9629
347.22,       48.89844
347.87,      -19.95605
348.52,      -67.91016
349.17,       -82.8916
349.82,      -76.05957
350.47,      -50.47266
351.12,      -11.89551
351.77,       32.92969
352.43,       85.19238
353.08,       130.1953
353.73,       142.9307
354.39,       120.4604
355.04,       71.42236
355.70,       13.19336
356.35,      -23.93311
357.01,      -31.65723
357.66,      -20.89307
358.32,       4.831055
358.98,       38.34473
359.63,       74.05127
360.29,       116.4028
360.95,       148.0293
361.61,       140.7285
362.27,       92.30664
362.93,       10.07422
363.59,      -71.40527
364.25,      -95.47656
364.91,      -51.11523
365.57,       44.81934
366.23,        152.376
366.89,       206.2749
367.55,       190.5996
368.22,       125.4697
368.88,       44.64355
369.54,       2.861328
370.21,       14.42773
370.87,       60.30273
371.54,       117.4375
372.20,       149.5254
372.87,       146.7407
373.53,       124.4028
374.20,       93.74512
374.87,       71.19922
375.53,       62.73828
376.20,       59.61035
376.87,        64.3335
377.54,        82.4873
378.21,       111.7676
378.87,       151.2505
379.54,       183.9858
380.21,       182.0977
380.88,       141.4556
381.56,       70.56885
382.23,      -6.737305
382.90,      -51.48389
383.57,      -54.02881
384.24,      -25.17578
384.92,       14.83398
385.59,       32.33203
386.26,       18.75781
386.94,      -14.30762
387.61,      -52.60303
388.29,      -73.38623
388.96,      -71.07861
389.64,      -56.16016
390.31,      -36.03223
390.99,      -21.44629
391.67,      -16.49414
392.34,      -15.35449
393.02,      -21.44043
393.70,      -40.87598
394.38,      -72.29492
395.06,      -114.5054
395.74,      -151.8867
396.42,       -159.251
397.10,      -132.3164
397.78,      -77.76758
398.46,      -18.01855
399.14,       10.51807
399.82,     -0.9125977
400.50,      -43.02295
401.19,      -92.42041
401.87,      -111.1016
402.55,      -89.95117
403.24,      -39.94727
403.92,        14.7998
404.61,       35.99707
405.29,       15.38574
405.98,      -34.18164
406.66,      -86.64844
407.35,      -101.2075
408.03,      -68.85059
408.72,       -3.72168
409.41,       68.63916
410.10,       108.0537
410.79,       104.2852
411.47,       70.58203
412.16,       27.05029
412.85,       5.431152
413.54,       14.76172
414.23,       44.51367
414.92,       81.61719
415.61,       105.9277
416.31,       111.2607
417.00,       104.2495
417.69,         92.396
418.38,       87.19434
419.08,       90.91846
419.77,       97.69873
420.46,       101.9434
421.16,       95.27051
421.85,       77.04102
422.55,       54.52441
423.24,       30.46094
423.94,       7.964844
424.64,      -9.433105
425.33,      -23.06055
426.03,      -22.90723
426.73,       7.163574
427.42,       65.79297
428.12,       143.8428
428.82,       218.8115
429.52,       255.4551
430.22,       244.9346
430.92,       197.7861
431.62,       130.6045
432.32,        70.8623
433.02,       30.41357
433.72,       5.718262
434.43,       -5.24707
435.13,      -6.841309
435.83,      -1.520508
436.53,       11.27783
437.24,        34.3501
437.94,       70.43213
438.65,       116.5522
439.35,       168.7329
440.06,       210.2104
440.76,       216.5781
441.47,       184.2778
442.17,       120.6611
442.88,       50.06445
443.59,       11.81738
444.29,       15.80273
445.00,        52.4209
445.71,       99.02002
446.42,       117.8467
447.13,       99.86426
447.84,        57.1333
448.55,       10.25879
449.26,      -8.005859
449.97,       9.526855
450.68,       50.02148
451.39,       95.15088
452.10,       116.7349
452.82,       107.3638
453.53,       77.54297
454.24,       38.61768
454.95,       8.358398
455.67,      -7.203613
456.38,      -14.52637
457.10,      -14.79688
457.81,      -9.977051
458.53,      -1.395996
459.24,       14.59229
459.96,       31.11865
460.68,       36.12549
461.39,       27.96484
462.11,       7.525879
462.83,      -10.62549
463.55,      -1.627441
464.27,        36.6123
464.98,        93.6792
465.70,       146.0005
466.42,       156.2754
467.14,       116.8066
467.86,       41.83545
468.58,      -47.21436
469.31,      -116.8462
470.03,      -153.6553
470.75,      -163.1079
471.47,      -150.9312
472.20,      -127.5615
472.92,      -98.11426
473.64,       -61.8374
474.37,      -16.09717
475.09,       42.74023
475.82,       110.6504
476.54,       180.6265
477.27,       235.3315
477.99,       250.1611
478.72,        221.772
479.45,       159.9678
480.17,       85.90625
480.90,       33.37891
481.63,       13.55859
482.36,       19.49512
483.09,        41.1582
483.81,       60.68945
484.54,       71.18457
485.27,       76.63428
486.00,       80.19336
486.73,       86.58496
487.47,       95.83887
488.20,       104.4258
488.93,       105.8501
489.66,       90.83252
