SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 14:23:37
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,       86.05078
300.89,          75.75
301.51,       38.81836
302.13,      -8.762695
302.75,      -41.25684
303.37,      -49.20605
303.99,      -43.26367
304.62,      -20.98193
305.24,        22.9873
305.86,       83.12158
306.48,       154.7627
307.11,       216.4805
307.73,       233.3818
308.36,       199.1328
308.98,       126.0059
309.61,       33.91797
310.23,       -43.9126
310.86,      -94.12354
311.48,      -122.9478
312.11,      -130.6567
312.74,      -119.3242
313.36,      -93.67285
313.99,       -54.5957
314.62,      -10.86719
315.25,       21.42969
315.88,       38.44629
316.51,       45.39355
317.14,       41.81348
317.77,       29.95703
318.40,       12.66016
319.03,      -14.06641
319.66,      -31.99316
320.29,      -11.82813
320.93,       47.96582
321.56,       138.8369
322.19,       221.5771
322.83,       232.8496
323.46,       161.7881
324.10,       29.39941
324.73,      -115.1885
325.37,      -193.1714
326.00,      -183.5635
326.64,      -107.7422
327.27,      -5.679688
327.91,       57.58496
328.55,        63.2168
329.19,       29.16455
329.83,      -13.69775
330.46,      -16.95166
331.10,       30.69678
331.74,       112.4316
332.38,       194.5615
333.02,       226.2041
333.66,       196.7373
334.31,       123.0356
334.95,       44.24805
335.59,       21.60693
336.23,       67.93066
336.87,       162.5073
337.52,       263.4404
338.16,       304.6152
338.81,        269.626
339.45,       179.4346
340.09,       70.34277
340.74,    -0.05761719
341.39,      -15.34326
342.03,       8.027344
342.68,       44.13379
343.33,       51.30762
343.97,       20.45313
344.62,      -31.10059
345.27,       -80.2832
345.92,      -92.29492
346.57,      -59.57617
347.22,       1.654297
347.87,       74.21875
