SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 15:21:55
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,       90.78662
300.89,       88.52246
301.51,       57.99854
302.13,       14.67041
302.75,      -16.48975
303.37,      -26.27051
303.99,      -22.51611
304.62,      -7.790527
305.24,       14.76709
305.86,       40.82666
306.48,        69.5918
307.11,       96.04883
307.73,       111.0547
308.36,       112.1489
308.98,        102.458
309.61,       80.53711
310.23,       45.44482
310.86,      0.7758789
311.48,      -51.14941
312.11,      -94.80469
312.74,      -106.5332
313.36,      -82.23535
313.99,      -28.06738
314.62,       35.41943
315.25,       74.21045
315.88,       79.50879
316.51,        59.4375
317.14,       31.74023
317.77,        26.4873
318.40,       49.92773
319.03,       90.37012
319.66,       131.5762
320.29,       148.1465
320.93,       134.4575
321.56,       102.2075
322.19,       62.03271
322.83,       29.74072
323.46,       12.04395
324.10,       3.635742
324.73,       7.072754
325.37,       26.81104
326.00,       59.98193
326.64,       103.4526
327.27,       144.0879
327.91,       160.4541
328.55,       147.8301
329.19,       112.6128
329.83,       65.21533
330.46,       23.62207
331.10,      -5.133789
331.74,      -24.83057
332.38,      -35.18799
333.02,      -36.77734
333.66,      -31.02783
334.31,       -16.8125
334.95,       0.425293
335.59,       11.19873
336.23,       12.56934
336.87,       4.951172
337.52,      -5.869629
338.16,      -10.01172
338.81,      -4.095703
339.45,       11.62256
340.09,       28.77002
340.74,       34.35498
341.39,       25.58789
342.03,       3.247559
342.68,      -15.26367
343.33,      -2.205566
343.97,       45.15332
344.62,       118.2881
345.27,       184.0308
345.92,       189.3613
346.57,       126.5313
347.22,       15.23242
347.87,      -101.0933
348.52,      -153.1045
349.17,      -124.0625
349.82,      -36.55078
350.47,       74.71191
351.12,       153.6719
351.77,       181.7578
352.43,        174.312
353.08,       146.2783
353.73,       121.5986
354.39,       109.3584
355.04,       101.7676
355.70,       93.02441
356.35,       76.41797
357.01,       50.70557
357.66,       19.75342
358.32,      -5.881348
358.98,      -12.12988
359.63,       2.879395
360.29,       35.35352
360.95,       66.67676
361.61,       67.29736
362.27,       32.64551
362.93,      -27.60107
363.59,      -87.93652
364.25,      -107.1387
364.91,      -76.80029
365.57,      -11.47607
366.23,       63.97363
366.89,       109.7227
367.55,       114.3691
368.22,       90.31885
368.88,       51.71191
369.54,       21.41113
370.21,       7.503906
370.87,       2.489746
371.54,       3.041504
372.20,       4.602051
372.87,       5.054199
373.53,       7.734375
374.20,       11.57227
374.87,       13.17676
375.53,       11.99756
376.20,       7.945313
376.87,       2.976074
377.54,       1.197266
378.21,        3.36377
378.87,       8.029785
379.54,       13.33496
380.21,       16.18213
380.88,       15.87305
381.56,       13.88916
382.23,        10.9082
382.90,       8.024414
383.57,       5.685059
384.24,       2.947266
384.92,       1.388672
385.59,       3.507813
386.26,       9.463867
386.94,       19.10156
387.61,       27.77539
388.29,       28.03711
388.96,       18.71045
389.64,        1.54541
390.31,      -15.74902
390.99,      -20.64648
391.67,      -10.93213
392.34,       9.581055
393.02,       31.15039
393.70,       37.79834
394.38,       26.70996
395.06,       4.185059
395.74,      -20.26953
396.42,      -31.16309
397.10,      -25.00781
397.78,      -8.808105
398.46,       13.40625
399.14,       34.97119
399.82,       52.90088
400.50,        71.4541
401.19,       83.45654
401.87,       77.37402
402.55,       53.15137
403.24,       12.75879
403.92,      -23.74609
404.61,      -23.63574
405.29,        17.7832
405.98,       90.11279
406.66,       163.9702
407.35,       191.8926
408.03,       163.4453
408.72,       93.59326
409.41,       11.26172
410.10,      -36.94922
410.79,       -37.9585
411.47,      -5.070313
412.16,       41.10986
412.85,       67.35547
413.54,       64.37451
414.23,        43.0542
414.92,       18.23584
415.61,       12.69775
416.31,       31.33887
417.00,       63.98389
417.69,       96.68311
418.38,       109.2104
419.08,       95.97803
419.77,       64.06592
420.46,       24.22559
421.16,      -7.563965
421.85,      -24.75244
422.55,      -28.89844
423.24,      -26.27539
423.94,      -27.20215
424.64,      -33.71875
425.33,      -43.65234
426.03,      -45.10205
426.73,      -19.52148
427.42,       33.30078
428.12,       104.0532
428.82,       169.0244
429.52,       191.7031
430.22,       164.7041
430.92,       100.3857
431.62,        22.3916
432.32,      -31.01904
433.02,      -47.74316
433.72,      -36.99023
434.43,      -10.53271
435.13,       11.13623
435.83,       22.20264
436.53,       31.02441
437.24,       42.82422
437.94,       64.95361
438.65,       98.30273
439.35,       135.5503
440.06,       174.4512
440.76,       213.6182
441.47,        250.312
442.17,       284.9028
442.88,       309.4043
443.59,       311.1216
444.29,       289.7944
445.00,       250.6733
445.71,       209.2407
446.42,       190.2075
447.13,       199.3809
447.84,       229.5605
448.55,       267.1309
449.26,       289.6514
449.97,       289.7949
450.68,        272.874
451.39,       246.0693
452.10,       221.3696
452.82,       202.5625
453.53,       186.4224
454.24,       168.6743
454.95,       142.2964
455.67,       108.6162
456.38,       75.13818
457.10,       49.63818
457.81,       43.18262
458.53,       57.80029
459.24,       86.00879
459.96,       127.1162
460.68,        180.416
461.39,       240.6245
462.11,       306.0039
462.83,       357.6543
463.55,       366.4258
464.27,       329.8022
464.98,       258.7476
465.70,       183.4287
466.42,       152.3511
467.14,       178.5532
467.86,       249.8188
468.58,       343.0781
469.31,       419.5571
470.03,       466.8608
470.75,       494.7354
471.47,       516.7363
472.20,       554.4004
472.92,       613.0786
473.64,       684.4561
474.37,       753.6265
475.09,        799.438
475.82,       816.9341
476.54,       811.4292
477.27,       801.6875
477.99,       817.4766
478.72,        863.126
479.45,       928.0342
480.17,       986.3228
480.90,       996.3623
481.63,       951.6548
482.36,       870.6299
483.09,       780.3276
483.81,       723.0435
484.54,       712.1367
485.27,       734.0303
486.00,       779.6475
486.73,       834.4575
487.47,       887.9351
488.20,       940.9438
488.93,        982.874
489.66,       996.1128
490.39,       979.4668
491.13,       941.1792
491.86,       891.6001
492.59,       848.9292
493.33,       823.2095
494.06,       812.3652
494.80,       828.8828
495.53,       890.5581
496.27,       995.5552
497.00,       1135.421
497.74,       1282.544
498.48,       1391.897
499.22,       1452.858
499.95,        1478.95
500.69,       1490.016
501.43,       1520.422
502.17,       1582.762
502.91,       1667.481
503.65,       1774.914
504.39,       1904.688
505.13,       2053.591
505.87,       2224.188
506.61,        2403.51
507.35,       2568.574
508.09,       2715.891
508.83,       2851.923
509.58,       2994.712
510.32,       3174.243
511.06,       3398.857
511.81,       3661.357
512.55,       3947.924
513.30,       4235.293
514.04,       4516.802
514.79,       4798.219
515.53,       5088.502
516.28,       5403.463
517.02,       5742.296
517.77,       6091.126
518.52,       6438.463
519.27,       6767.826
520.01,       7075.042
520.76,       7371.814
521.51,       7653.294
522.26,        7910.61
523.01,       8150.961
523.76,       8380.252
524.51,       8635.715
525.26,       8976.278
526.01,       9406.465
526.76,       9899.327
527.51,       10399.27
528.27,       10818.75
529.02,       11129.09
529.77,       11348.41
530.52,       11503.69
531.28,       11642.75
532.03,       11785.15
532.79,       11922.25
533.54,       12047.41
534.30,       12150.25
535.05,       12231.44
535.81,       12300.71
536.56,       12378.19
537.32,       12490.02
538.08,       12637.96
538.83,       12810.96
539.59,       12974.99
540.35,       13076.57
541.11,        13104.7
541.87,       13075.78
542.63,       13023.35
543.39,       13003.37
544.15,       13029.09
544.91,       13079.16
545.67,        13131.3
546.43,       13150.29
547.19,       13122.77
547.95,       13060.78
548.71,       12963.74
549.48,       12829.74
550.24,       12664.61
551.00,       12470.93
551.77,       12267.24
552.53,       12084.29
553.29,       11929.39
554.06,       11795.26
554.82,       11667.75
555.59,       11521.33
556.36,       11347.29
557.12,       11152.75
557.89,       10940.32
558.66,       10714.58
559.42,       10479.52
560.19,          10234
560.96,       9983.617
561.73,       9738.773
562.50,       9500.992
563.27,       9266.566
564.04,       9032.002
564.81,       8790.242
565.58,       8538.355
566.35,       8279.771
567.12,       8008.611
567.89,       7715.872
568.66,       7403.042
569.43,       7074.357
570.21,       6749.555
570.98,       6459.122
571.75,        6211.18
572.53,       6001.353
573.30,       5808.023
574.07,        5594.94
574.85,       5354.015
575.62,       5094.327
576.40,       4843.811
577.17,       4647.109
577.95,       4512.814
578.73,       4427.414
579.50,       4355.216
580.28,       4239.151
581.06,       4069.368
581.84,       3867.398
582.62,       3674.153
583.39,       3554.722
584.17,       3523.703
584.95,       3556.256
585.73,       3621.023
586.51,       3668.153
587.29,       3680.408
588.07,       3673.796
588.86,        3653.62
589.64,       3627.958
590.42,       3604.788
591.20,       3580.939
591.98,       3570.073
592.77,        3597.14
593.55,       3663.061
594.33,       3754.844
595.12,       3853.383
595.90,       3928.596
596.69,       3966.598
597.47,       3971.881
598.26,       3942.813
599.04,       3879.053
599.83,       3796.059
600.62,       3706.295
601.40,       3628.658
602.19,       3614.585
602.98,       3658.441
603.77,       3716.473
604.55,       3869.706
605.34,       4211.129
606.13,        4866.44
606.92,        5971.08
607.71,        7207.52
608.50,       8421.875
609.29,       9539.359
610.08,       9347.923
610.87,       8765.319
611.67,       11597.58
612.46,       16651.83
613.25,       18505.13
614.04,        16627.8
614.84,       13582.94
615.63,       10372.15
616.42,       8004.715
617.22,       6831.907
618.01,       5886.518
618.81,       5062.306
619.60,       4938.902
620.40,       5301.888
621.19,       5577.491
621.99,       5700.466
622.78,       5681.094
623.58,       5536.021
624.38,       5891.738
625.18,         6537.9
625.97,       6370.539
626.77,       6638.769
627.57,        9195.83
628.37,       14659.99
629.17,        24583.5
629.97,       35405.58
630.77,       38973.07
631.57,       35505.19
632.37,       28080.16
633.17,        23479.7
633.97,       23252.45
634.77,       26845.46
635.58,       24462.48
636.38,       16255.03
637.18,         9982.3
637.98,       6840.717
638.79,       4957.184
639.59,       3947.187
640.40,        2818.12
641.20,       1374.517
642.00,       637.7598
642.81,       807.6597
643.62,       1550.042
644.42,       2750.049
645.23,       4315.444
646.03,       5788.093
646.84,        6522.01
647.65,       6358.464
648.46,       5444.083
649.26,       4137.139
650.07,       3068.412
650.88,       2451.276
651.69,       2145.088
652.50,       2032.813
653.31,       1898.599
654.12,       1671.926
654.93,       1461.123
655.74,       1290.756
656.55,       1164.288
657.36,       1082.632
658.17,       1005.387
