SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 13:55:58
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,       10.06592
300.89,       9.719238
301.51,       1.162598
302.13,      -9.698242
302.75,      -13.58887
303.37,      -7.602539
303.99,       7.184082
304.62,       22.93164
305.24,       27.36328
305.86,       19.19336
306.48,       2.029785
307.11,      -8.760742
307.73,       11.27637
308.36,       64.36377
308.98,       139.6328
309.61,       213.8809
310.23,       250.7085
310.86,       241.1206
311.48,       196.6455
312.11,       134.5747
312.74,       83.34229
313.36,       52.96045
313.99,       36.12988
314.62,         28.396
315.25,       21.91455
315.88,       13.79541
316.51,       8.777832
317.14,       5.835449
317.77,        1.66748
318.40,      -4.349121
319.03,      -13.47949
319.66,      -22.49951
320.29,      -24.79736
320.93,      -19.68701
321.56,      -9.206055
322.19,       1.053223
322.83,       1.698242
323.46,      -8.069824
324.10,      -23.25098
324.73,      -37.50977
325.37,      -40.77295
326.00,      -30.56445
326.64,      -11.95459
327.27,       14.34229
327.91,       47.10645
328.55,       83.34863
329.19,        123.022
329.83,       154.9766
330.46,       162.0732
331.10,       141.8311
331.74,        98.2666
332.38,       49.76855
333.02,        26.3291
333.66,       35.02686
334.31,       69.09814
334.95,       108.1587
335.59,       118.5117
336.23,       93.17041
336.87,       43.08838
337.52,       -8.48877
338.16,      -24.97461
338.81,       1.856445
339.45,       59.69824
340.09,       124.9556
340.74,       160.8862
341.39,       157.1978
342.03,       123.6211
342.68,       79.96533
343.33,       57.76611
343.97,       65.05273
344.62,        92.5376
345.27,       119.8389
345.92,       115.5708
346.57,       72.99658
347.22,        2.15918
347.87,      -71.48096
348.52,      -108.8179
349.17,      -100.5449
349.82,      -56.37939
350.47,      -5.587891
351.12,       4.795898
351.77,      -34.22119
352.43,      -107.3237
353.08,       -178.415
353.73,      -190.1973
354.39,      -131.4321
355.04,      -23.00977
355.70,        96.7666
356.35,       167.4482
357.01,       173.1294
357.66,       132.9355
358.32,        74.1626
358.98,       40.86621
359.63,       45.99951
360.29,       74.09082
360.95,        111.084
361.61,       135.7524
362.27,       140.3647
362.93,       133.1875
363.59,       117.6782
364.25,         97.271
364.91,       75.09863
365.57,       50.55664
366.23,       25.14551
