SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 13:57:22
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,      -40.54541
300.89,      -31.23877
301.51,      -24.71338
302.13,      -18.61621
302.75,      -9.739258
303.37,       2.169922
303.99,       16.54395
304.62,       25.03467
305.24,       15.21631
305.86,      -12.79004
306.48,       -53.7041
307.11,      -88.81348
307.73,      -88.66553
308.36,      -48.56494
308.98,       20.63721
309.61,        96.4375
310.23,       142.8276
310.86,       149.2949
311.48,       125.4058
312.11,        85.2749
312.74,       52.26758
313.36,       34.76318
313.99,       27.08594
314.62,       22.79785
315.25,       12.18066
315.88,      -7.370605
316.51,      -32.23975
317.14,      -53.70605
317.77,      -59.81396
318.40,        -48.646
319.03,      -23.27832
319.66,      0.8579102
320.29,     -0.3520508
320.93,      -30.44629
321.56,      -81.86377
322.19,      -131.5166
322.83,      -142.2212
323.46,      -107.1758
324.10,      -39.61572
324.73,       34.86719
325.37,       75.29736
326.00,       71.10352
326.64,       35.87109
327.27,      -12.15137
327.91,      -44.07471
328.55,      -49.50049
329.19,      -36.20947
329.83,      -11.51221
330.46,       13.97168
331.10,       34.39453
331.74,        49.8335
332.38,        64.3418
333.02,       83.21973
333.66,       106.1084
334.31,       132.1934
334.95,       144.3672
335.59,       116.7686
336.23,       48.61377
336.87,      -49.98779
337.52,      -142.9326
338.16,      -173.5088
338.81,      -130.5449
339.45,      -31.07568
340.09,       83.38232
340.74,       145.4819
341.39,        137.439
342.03,       77.62891
342.68,      0.5175781
343.33,      -37.91211
343.97,      -22.50293
344.62,       29.81836
345.27,       90.44385
345.92,       114.7803
346.57,       92.24902
347.22,       38.15234
347.87,      -19.18555
348.52,      -36.14795
349.17,      -3.942383
349.82,       60.81836
350.47,       128.4814
351.12,       153.0161
351.77,       123.6348
352.43,       57.20801
353.08,      -21.69336
353.73,      -74.84619
354.39,      -89.62695
355.04,      -76.67725
355.70,      -47.89453
356.35,      -21.89209
357.01,      -6.336914
357.66,       2.538574
358.32,       9.974121
358.98,       23.49609
359.63,       43.50439
360.29,       66.20654
360.95,       79.46484
361.61,       65.38232
362.27,        23.6875
362.93,      -36.08301
363.59,      -92.55176
364.25,      -112.6924
