SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 13:58:12
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,      -36.58936
300.89,      -7.358398
301.51,        28.8418
302.13,       58.70117
302.75,       60.44141
303.37,       31.56445
303.99,      -18.63867
304.62,      -73.93164
305.24,      -108.0615
305.86,      -112.9653
306.48,      -96.67139
307.11,      -64.67578
307.73,      -26.40967
308.36,       11.49268
308.98,       49.72217
309.61,       80.29297
310.23,       90.46143
310.86,       78.51855
311.48,       48.18701
312.11,       8.108398
312.74,      -26.14697
313.36,        -48.979
313.99,      -63.83838
314.62,      -69.88867
315.25,      -67.34277
315.88,      -57.63037
316.51,      -39.08496
317.14,      -20.06104
317.77,      -14.75439
318.40,      -25.33252
319.03,      -48.80859
319.66,      -72.04395
320.29,      -72.85889
320.93,      -47.48096
321.56,       -3.98877
322.19,       42.11084
322.83,       66.14355
323.46,       61.63135
324.10,       36.44092
324.73,        1.88916
325.37,      -24.04932
326.00,      -34.90332
326.64,      -34.79688
327.27,      -28.63135
327.91,      -24.29053
328.55,      -24.04785
329.19,      -25.23193
329.83,      -23.17822
330.46,      -11.11035
331.10,       10.78467
331.74,       37.94189
332.38,       61.73779
333.02,        69.2959
333.66,       58.28223
334.31,       34.24707
334.95,       4.519043
335.59,      -19.21973
336.23,      -32.29932
336.87,      -37.63232
337.52,      -34.60156
338.16,      -22.61621
338.81,      -3.771484
339.45,       20.73193
340.09,       44.30176
340.74,       56.08691
341.39,       53.58496
342.03,       39.81836
342.68,       19.41943
343.33,      0.6591797
343.97,      -12.86719
344.62,      -22.80127
345.27,      -27.94092
345.92,      -26.56055
346.57,      -19.69189
347.22,      -8.616211
347.87,       2.938965
348.52,       8.373535
349.17,       6.101563
349.82,      -1.187988
350.47,      -13.35645
351.12,      -29.59473
351.77,      -47.94629
352.43,      -68.44336
353.08,      -83.36816
353.73,      -80.76074
354.39,      -59.19775
355.04,      -22.05713
355.70,       17.67041
356.35,        38.9375
357.01,       36.61816
357.66,       15.66357
358.32,      -10.68359
358.98,      -20.52295
359.63,      -8.679199
360.29,       18.27246
360.95,         46.854
361.61,       55.74658
362.27,       40.07178
362.93,       6.897949
363.59,      -29.80762
364.25,      -48.40527
364.91,      -43.44385
365.57,      -21.27881
366.23,       4.650391
366.89,       13.16162
367.55,     -0.7597656
368.22,      -30.54199
368.88,      -62.38916
369.54,      -74.58301
