SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 14:12:24
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,      -68.44238
300.89,      -82.98535
301.51,      -85.63672
302.13,      -71.33496
302.75,      -33.59375
303.37,       23.77148
303.99,       96.13672
304.62,       160.3286
305.24,       180.1382
305.86,       149.0303
306.48,       77.62695
307.11,      -6.972656
307.73,      -59.75879
308.36,      -68.40625
308.98,      -44.91113
309.61,      -7.739746
310.23,       11.85303
310.86,       5.465332
311.48,       -14.9209
312.11,      -38.66016
312.74,      -49.93555
313.36,       -43.7168
313.99,      -27.46875
314.62,      -4.453125
315.25,       21.97168
315.88,       48.27051
316.51,       74.46777
317.14,       96.46191
317.77,       106.9883
318.40,       105.3623
319.03,       94.79004
319.66,       78.01172
320.29,       60.59766
320.93,       44.76367
321.56,       27.40039
322.19,       14.66699
322.83,       15.94434
323.46,       30.95215
324.10,       58.12061
324.73,       79.99756
325.37,       67.68848
326.00,       18.57227
326.64,      -55.52051
327.27,      -128.3867
327.91,       -157.793
328.55,      -134.3784
329.19,      -73.73877
329.83,       4.623047
330.46,       69.08838
331.10,       107.3438
331.74,       127.7588
332.38,       129.6543
333.02,        112.791
333.66,       80.81543
334.31,       33.20801
334.95,      -16.62646
335.59,      -45.83447
336.23,      -48.94922
336.87,      -29.83691
337.52,      -1.541992
338.16,       12.55273
338.81,       6.647461
339.45,      -12.12402
340.09,      -33.31543
340.74,      -40.00684
341.39,      -28.00781
342.03,      -4.135254
342.68,       23.93115
343.33,       44.86035
343.97,       54.81836
344.62,       57.29004
345.27,       55.53613
345.92,       54.55371
346.57,       55.95215
347.22,       57.59277
347.87,       58.08984
348.52,       55.71289
349.17,       50.20703
349.82,       43.11621
350.47,       35.49805
351.12,       28.50195
351.77,       22.69727
352.43,       17.75977
353.08,       14.19336
353.73,       12.55566
354.39,       13.03516
355.04,       15.98242
355.70,       19.50146
356.35,        20.8291
357.01,       18.83447
357.66,       12.51074
358.32,       5.736328
358.98,       4.863281
359.63,       10.76855
360.29,       22.79297
360.95,       31.56445
361.61,       22.06055
362.27,         -7.125
362.93,      -50.53027
363.59,      -90.91895
364.25,      -101.4229
364.91,      -76.20508
365.57,      -22.96484
366.23,       38.04297
366.89,       74.86719
367.55,       77.80957
368.22,       52.28027
368.88,       17.50195
369.54,       4.855469
370.21,       21.26758
370.87,        59.1709
371.54,       92.11328
372.20,       78.00684
372.87,       11.80957
373.53,      -89.42725
374.20,      -185.2998
374.87,      -212.9678
375.53,      -159.3203
376.20,      -45.84375
376.87,       86.83984
377.54,       173.9873
378.21,       196.0986
378.87,       169.8794
379.54,       120.6821
380.21,       90.35059
380.88,       91.04932
381.56,       108.9785
382.23,       126.7554
382.90,       118.3975
383.57,       78.44873
384.24,       18.84668
384.92,      -42.08301
385.59,      -78.18066
386.26,      -82.32715
386.94,      -62.04199
387.61,      -33.78711
388.29,      -23.30908
388.96,      -37.33252
389.64,      -68.91211
390.31,      -101.3125
390.99,      -108.2646
391.67,      -83.90332
392.34,      -36.04102
393.02,        15.0791
393.70,       37.91016
394.38,       25.76221
395.06,      -12.17139
395.74,      -51.74561
396.42,       -54.4209
397.10,      -12.99219
397.78,       58.84082
398.46,       133.4033
399.14,       166.7422
399.82,       148.9702
400.50,       95.63574
401.19,       30.00879
401.87,      -10.52246
402.55,      -15.72949
403.24,      0.4716797
403.92,       26.66699
404.61,       45.00977
405.29,       48.34863
405.98,       44.45215
406.66,       30.38184
407.35,     -0.1142578
408.03,      -44.11914
408.72,      -98.23047
409.41,      -147.2632
410.10,      -166.1772
410.79,      -149.7446
411.47,      -105.8306
412.16,      -47.57227
412.85,       2.849121
413.54,       36.88379
414.23,       58.90234
414.92,       70.20508
415.61,       74.00977
416.31,       72.60449
417.00,       64.39648
417.69,       52.76123
418.38,       44.17725
419.08,       40.89014
419.77,       42.89697
420.46,       48.64551
421.16,       54.51709
421.85,       58.51807
422.55,        60.0752
423.24,        59.2959
423.94,       56.57031
424.64,       51.53027
425.33,       44.40039
426.03,       31.83984
426.73,       8.525391
427.42,      -24.02148
428.12,      -61.27734
428.82,      -93.88965
429.52,       -107.332
430.22,      -98.84961
430.92,      -74.65234
431.62,      -40.69141
432.32,      -7.014648
433.02,       21.47119
433.72,       47.59863
434.43,       65.26074
435.13,       65.30127
435.83,       48.41553
436.53,       17.58252
437.24,      -11.30127
437.94,      -12.40137
438.65,       19.56055
439.35,       77.16113
440.06,       142.5908
440.76,       186.8511
441.47,       200.9229
442.17,       190.5947
442.88,       168.7813
443.59,       157.0518
444.29,       160.7822
445.00,        173.834
445.71,       182.2661
446.42,       164.3022
447.13,       117.5571
447.84,       52.53467
448.55,       -10.0498
449.26,      -39.05273
449.97,      -26.76172
450.68,       17.37939
451.39,       75.22266
452.10,       117.6675
452.82,       135.2222
453.53,       134.0508
454.24,       125.4155
454.95,        128.083
455.67,       146.1592
456.38,       172.5078
457.10,       194.4448
457.81,       193.0752
458.53,       165.4121
459.24,       119.6211
