SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 14:03:47
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,       16.52734
300.89,       21.16797
301.51,       35.05273
302.13,       55.03027
302.75,       75.94434
303.37,       93.79785
303.99,       108.4834
304.62,       115.0586
305.24,       105.6802
305.86,       80.27832
306.48,       43.15918
307.11,      0.6958008
307.73,      -36.58594
308.36,      -63.94385
308.98,       -83.2666
309.61,      -91.52393
310.23,      -84.72412
310.86,       -64.9502
311.48,       -35.2207
312.11,      -5.793457
312.74,       6.480469
313.36,      -1.654785
313.99,      -23.69873
314.62,      -52.60889
315.25,      -76.38574
315.88,      -89.31934
316.51,      -94.67188
317.14,      -87.77979
317.77,      -60.98975
318.40,      -17.20215
319.03,       37.43359
319.66,       89.05371
320.29,       115.0479
320.93,       110.2964
321.56,       83.92969
322.19,       41.16113
322.83,       -8.53418
323.46,      -57.52637
324.10,      -106.9648
324.73,       -140.457
325.37,      -132.8667
326.00,      -82.55908
326.64,       2.074219
327.27,       92.06885
327.91,       140.1406
328.55,       134.2788
329.19,       86.20361
329.83,       20.25684
330.46,      -22.28662
331.10,      -29.83594
331.74,      -14.37793
332.38,       8.009277
333.02,       11.13672
333.66,      -10.70215
334.31,       -45.1748
334.95,       -79.8374
335.59,      -96.82813
336.23,       -91.1499
336.87,      -71.23535
337.52,      -42.33789
338.16,      -11.38672
338.81,       16.31348
339.45,       41.14648
340.09,       57.28662
340.74,       55.37939
341.39,       35.23145
342.03,       1.271973
342.68,      -38.73242
343.33,      -71.48291
343.97,       -92.0249
344.62,      -103.5171
345.27,      -103.5439
345.92,      -89.94434
346.57,      -64.08691
347.22,      -25.34473
347.87,       13.63037
348.52,       32.35547
349.17,       27.02344
349.82,       1.194336
350.47,      -26.20898
351.12,       -23.3623
351.77,       14.90137
352.43,       77.46191
353.08,       139.6035
353.73,       161.9854
354.39,       135.6675
355.04,       73.94092
355.70,     -0.5541992
356.35,       -51.9707
357.01,      -69.10449
357.66,      -61.11914
358.32,      -41.56055
358.98,       -32.5332
359.63,       -40.1416
360.29,      -56.90918
360.95,      -72.31641
361.61,      -70.40039
362.27,      -48.88965
362.93,       -16.0918
363.59,       16.24805
364.25,       30.52051
364.91,       23.38525
365.57,       3.684082
366.23,      -20.71729
366.89,      -37.87402
367.55,      -42.22119
368.22,      -37.78174
368.88,      -19.94336
369.54,       18.89063
370.21,        75.6543
370.87,       144.5684
371.54,        209.124
372.20,       243.0308
372.87,       240.0684
373.53,       208.3652
374.20,       158.9414
374.87,       110.9604
375.53,       72.87549
376.20,       41.02979
376.87,       19.27588
377.54,       12.56982
378.21,       20.35254
378.87,        42.5127
379.54,       68.83154
380.21,       81.55615
380.88,       76.10352
381.56,       55.69629
382.23,       30.08301
382.90,        16.0708
383.57,       18.31641
384.24,        32.7334
384.92,       50.08203
385.59,       55.82715
386.26,       46.46094
386.94,        25.7168
387.61,       5.162109
388.29,       2.800781
388.96,       21.52393
389.64,       55.23975
390.31,       87.00439
390.99,       90.28711
391.67,       60.10693
392.34,       5.513184
393.02,      -53.49512
393.70,      -85.16992
394.38,       -81.4585
395.06,       -51.4873
395.74,       -11.9917
396.42,       9.594727
397.10,       6.511719
397.78,      -11.60645
398.46,      -32.25244
399.14,      -35.54688
399.82,       -17.0625
400.50,       13.49512
401.19,       48.46533
401.87,        76.8208
402.55,        93.8584
403.24,       104.0723
403.92,       104.7246
404.61,       90.86035
405.29,       64.63477
405.98,       28.92969
406.66,      -4.038086
407.35,      -14.43799
408.03,       1.613281
408.72,       37.63379
409.41,       82.24951
410.10,       116.4961
410.79,       133.6138
411.47,       138.1401
412.16,       132.9897
412.85,       123.2388
413.54,       112.6445
414.23,       101.3677
414.92,       92.01074
415.61,       89.16602
416.31,       94.55225
417.00,       107.3555
417.69,       129.9341
418.38,       164.8677
419.08,       210.2485
419.77,       263.7246
420.46,       314.7935
421.16,       347.1553
421.85,       358.1152
422.55,       353.0068
423.24,       343.9048
423.94,       350.9404
424.64,       379.9102
425.33,       425.3896
426.03,       481.4785
426.73,       537.6528
427.42,       591.0972
428.12,        647.541
428.82,       707.9141
429.52,       772.7354
430.22,       844.2754
430.92,       922.5654
431.62,       1015.084
432.32,       1134.004
433.02,       1281.577
433.72,       1455.208
434.43,       1645.325
435.13,       1835.946
435.83,       2023.978
436.53,       2215.656
437.24,       2423.162
437.94,       2664.221
438.65,       2947.175
439.35,       3273.847
440.06,       3636.126
440.76,       4018.931
441.47,       4419.504
442.17,       4838.854
442.88,        5293.56
443.59,        5810.74
444.29,       6383.813
445.00,       6985.848
445.71,       7567.112
446.42,       8057.752
447.13,       8426.643
447.84,       8670.156
448.55,       8807.005
449.26,       8878.207
449.97,       8890.981
450.68,       8833.612
451.39,       8673.964
452.10,       8360.864
452.82,       7901.759
453.53,       7342.376
454.24,       6754.468
454.95,       6240.123
455.67,       5838.364
456.38,       5536.042
457.10,       5310.761
457.81,        5116.59
458.53,       4933.903
459.24,       4771.672
459.96,       4628.379
460.68,       4501.921
461.39,       4385.546
462.11,       4265.076
462.83,       4127.238
463.55,       3960.384
464.27,        3761.98
464.98,       3536.508
465.70,       3297.656
466.42,       3066.462
467.14,       2852.835
467.86,       2658.783
468.58,       2479.196
469.31,        2302.75
470.03,       2128.088
470.75,       1958.683
471.47,       1808.777
472.20,       1699.813
472.92,       1632.097
473.64,       1595.421
474.37,       1561.431
475.09,       1486.099
475.82,       1361.192
476.54,       1201.937
477.27,       1037.605
477.99,       916.0908
478.72,       850.4922
479.45,       825.2168
480.17,       824.0977
480.90,       820.5479
481.63,       803.9556
482.36,       782.7363
483.09,       755.2856
483.81,       718.2417
484.54,       673.5752
485.27,       620.7769
486.00,       569.5024
486.73,       537.8667
487.47,       528.4731
488.20,       534.1626
488.93,       546.0791
489.66,       548.8721
490.39,       537.1987
491.13,       516.8535
491.86,        484.707
492.59,       436.3638
493.33,       374.3857
494.06,       300.2954
494.80,       232.3091
495.53,       199.1836
496.27,       206.9487
497.00,       250.2188
497.74,       304.8682
498.48,       330.5864
499.22,       318.5015
499.95,       279.0562
500.69,       239.5703
501.43,        244.979
502.17,       303.0581
502.91,       395.9912
503.65,        492.792
504.39,       544.9229
505.13,       540.7075
505.87,       497.8042
506.61,       438.5977
507.35,       398.7153
508.09,       390.1328
508.83,       401.2031
509.58,       426.9253
510.32,       459.2266
511.06,       492.9565
511.81,       532.3262
512.55,       568.3682
513.30,       585.3467
514.04,       580.7549
514.79,       556.4482
515.53,       526.6621
516.28,       516.6982
517.02,       530.8115
517.77,       560.2129
518.52,       589.0225
519.27,       590.9814
520.01,       561.0244
520.76,       511.5156
521.51,       453.8379
522.26,       405.2686
523.01,        373.668
523.76,       354.0361
524.51,       351.1504
525.26,       372.4414
526.01,       415.0996
526.76,       474.4443
527.51,        532.668
528.27,       561.6787
529.02,       553.2739
529.77,       512.2314
530.52,       452.4277
531.28,       398.0869
532.03,       357.8501
532.79,       329.0396
533.54,       303.0522
534.30,       264.4248
535.05,       213.0684
535.81,       158.4868
536.56,       118.1406
537.32,       117.8701
538.08,       160.6914
538.83,       233.1392
539.59,       315.7349
540.35,       378.6982
541.11,        410.769
541.87,       418.5664
542.63,       404.6499
543.39,       374.7144
544.15,       334.7549
544.91,       285.4746
545.67,       237.2871
546.43,       206.9233
547.19,       199.0127
547.95,       210.9014
548.71,       235.8647
549.48,       261.0005
550.24,       280.1396
551.00,       293.8887
551.77,        301.019
552.53,       300.4644
553.29,       292.5601
554.06,       278.0635
554.82,       256.5215
555.59,       228.3389
556.36,       196.0869
557.12,         161.48
557.89,       134.4648
558.66,        129.686
559.42,       148.9727
560.19,       187.8496
560.96,       231.6294
561.73,       256.0737
562.50,       255.5654
563.27,       237.0132
564.04,       212.6431
564.81,        203.436
565.58,       213.8711
566.35,       234.4063
567.12,       257.7441
567.89,       272.6626
568.66,       274.8223
569.43,       269.8652
570.21,       253.7231
570.98,       219.3804
571.75,       168.8032
572.53,       104.5996
573.30,       44.25391
574.07,       15.82666
574.85,       24.49316
575.62,       62.74072
576.40,       109.2754
577.17,       128.5161
577.95,       112.3145
578.73,       71.92627
579.50,       25.63818
580.28,        3.56543
581.06,       13.08643
581.84,       42.05176
582.62,        79.1377
583.39,       107.0566
584.17,        119.126
584.95,       121.6772
585.73,       114.1133
586.51,       94.69971
587.29,       66.21289
588.07,        29.9873
588.86,      -4.194824
589.64,      -20.00293
590.42,       -14.0332
591.20,        9.09375
591.98,       40.91504
592.77,       66.61035
593.55,       81.00684
594.33,       87.78955
595.12,       87.82617
595.90,       83.38965
596.69,       75.82178
597.47,       62.90479
598.26,       48.81592
599.04,       40.98096
599.83,       40.78662
600.62,       47.85059
601.40,       54.91455
602.19,       49.24707
602.98,       29.34375
603.77,    -0.01367188
604.55,      -27.90967
605.34,       -36.8291
606.13,      -23.52539
606.92,        4.88916
607.71,       38.12305
608.50,       59.98779
609.29,       65.04346
610.08,       58.02783
610.87,       42.22559
611.67,       22.89307
612.46,       3.799316
613.25,      -15.06494
614.04,      -30.79785
614.84,      -38.57813
615.63,      -37.38232
616.42,      -28.83838
617.22,      -13.45801
618.01,       7.245117
618.81,       30.38525
619.60,       54.36816
620.40,       72.08301
621.19,       72.82227
621.99,       55.49707
622.78,       24.73291
623.58,       -10.6958
624.38,      -36.59326
625.18,      -47.66699
625.97,      -46.76758
626.77,      -35.75488
627.57,      -18.14746
628.37,       2.496094
629.17,       24.75098
629.97,        45.7207
630.77,       60.43408
631.57,       67.70605
632.37,       70.38232
633.17,       65.37012
633.97,       48.50391
634.77,       22.25732
635.58,      -11.11279
636.38,      -35.43994
637.18,      -25.06006
637.98,       22.24805
638.79,       95.86035
639.59,       172.2446
640.40,       213.2402
641.20,       209.3784
642.00,        173.416
642.81,       119.8555
643.62,        73.0415
644.42,       42.69629
645.23,       21.38623
646.03,       12.03809
646.84,       19.37793
647.65,       40.81299
648.46,       75.05615
649.26,       107.6421
650.07,       114.0088
650.88,       89.19727
651.69,       40.46924
652.50,      -17.70557
653.31,      -61.23096
654.12,      -81.31104
654.93,      -82.26855
655.74,      -69.97803
656.55,       -54.5293
657.36,      -40.23682
658.17,      -26.23828
658.98,      -8.307129
659.80,       20.03906
660.61,       57.17188
661.42,       98.22461
662.23,       128.7266
663.05,       126.7383
663.86,        90.8252
664.68,       31.83301
665.49,      -30.98828
666.31,      -66.55371
667.12,      -67.19727
667.94,      -45.22852
668.75,      -7.597168
669.57,       33.30859
670.39,       70.04346
671.20,       108.0034
672.02,       130.5796
672.84,       111.3325
673.66,        49.5918
674.47,      -46.95215
675.29,      -141.3789
676.11,      -173.5898
676.93,      -131.4971
677.75,      -32.38672
678.57,       81.99072
679.39,       143.2642
680.21,        133.542
681.03,       72.00049
681.85,      -7.164551
682.68,      -48.39795
683.50,      -37.01514
684.32,       8.912598
685.14,        61.8877
685.96,        79.4585
686.79,       51.04346
687.61,      -7.915527
688.44,      -72.63184
689.26,      -105.9795
690.08,      -97.70752
690.91,      -58.50781
691.73,      -10.28906
692.56,       12.78125
693.39,       2.566895
694.21,       -30.6499
695.04,      -63.45947
695.87,      -59.12695
696.69,       -10.9873
697.52,       66.91992
698.35,       146.3032
699.18,       183.5415
700.00,       167.8862
700.83,       112.6543
701.66,       43.33643
702.49,      0.6323242
703.32,      -4.111816
704.15,       17.72607
704.98,        46.5376
705.81,       50.78418
706.64,       23.38965
707.47,      -23.39648
708.31,       -70.9292
709.14,      -91.06543
709.97,      -76.93701
710.80,       -38.8916
711.64,        7.28418
712.47,       37.50049
713.30,       44.33594
714.14,       34.39941
714.97,       17.93945
715.81,        11.2334
716.64,       18.75098
717.48,       35.27051
718.31,       52.21094
719.15,       56.39551
719.98,       45.68994
720.82,       26.06006
721.66,       7.419434
722.49,       4.861328
723.33,       21.17871
724.17,       49.44678
725.01,       81.07129
725.84,       102.9014
726.68,       109.9912
727.52,       106.0137
728.36,       91.78174
729.20,       68.80811
730.04,       39.86621
730.88,       5.979004
731.72,      -26.82275
732.56,      -49.18262
733.40,      -57.93066
734.25,      -53.69531
735.09,      -40.31689
735.93,      -25.03809
736.77,      -11.20703
737.61,      0.5913086
738.46,        12.1958
739.30,       27.23242
740.14,        45.0918
740.99,        63.5332
741.83,       74.50391
742.68,        66.2334
743.52,        37.7915
744.37,      -5.805176
745.21,      -50.76416
746.06,      -75.84668
746.90,      -75.09766
747.75,      -52.83789
748.60,       -21.7666
749.44,      -2.770508
750.29,      -2.080078
751.14,      -16.08301
751.99,      -32.14453
752.84,      -29.69678
753.68,       -5.57666
754.53,       33.15039
755.38,       66.63818
756.23,       64.04932
757.08,       20.84229
757.93,      -50.87012
758.78,      -124.7168
759.63,      -159.4878
760.48,       -144.749
761.33,       -92.6167
762.19,       -25.0752
763.04,       22.19482
763.89,       38.29834
764.74,       32.59521
765.59,       18.95703
766.45,       19.86914
767.30,        40.6416
768.15,       72.26855
769.01,       102.1221
