SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 14:08:31
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,       152.6494
300.89,       128.5576
301.51,       82.55859
302.13,       31.24316
302.75,       1.426758
303.37,    -0.08203125
303.99,        16.7207
304.62,       42.63721
305.24,       62.83154
305.86,       71.33887
306.48,       73.80273
307.11,       67.33154
307.73,       46.75391
308.36,       13.97852
308.98,      -29.34766
309.61,      -70.80029
310.23,      -89.10254
310.86,      -81.17627
311.48,      -55.00879
312.11,      -22.77588
312.74,      -5.646973
313.36,      -8.601074
313.99,      -21.09668
314.62,       -41.7334
315.25,      -68.29004
315.88,      -95.78223
316.51,      -126.2988
317.14,      -140.5205
317.77,      -106.7764
318.40,       -24.4165
319.03,       93.04004
319.66,       208.7759
320.29,       263.7148
320.93,       244.2227
321.56,       168.9224
322.19,       68.01563
322.83,        -8.6875
323.46,      -43.65723
324.10,      -49.05322
324.73,      -34.43799
325.37,      -15.89746
326.00,       -1.04248
326.64,       14.63477
327.27,       31.65674
327.91,       48.58008
328.55,       64.16699
329.19,       77.12207
329.83,       79.78711
330.46,       62.52832
331.10,       26.11523
331.74,      -25.23291
332.38,      -72.55762
333.02,      -86.12109
333.66,      -60.73242
334.31,      -5.710449
334.95,       55.86719
335.59,       86.30664
336.23,       75.93359
336.87,       35.60596
337.52,      -16.77832
338.16,      -51.58594
338.81,      -60.53613
339.45,      -53.37109
340.09,      -40.29541
340.74,      -37.80078
341.39,      -49.42773
342.03,       -65.7251
342.68,      -81.93359
343.33,      -91.93115
343.97,      -92.96729
344.62,      -89.90234
345.27,      -77.31836
345.92,      -45.55859
346.57,       3.527344
347.22,       65.36914
347.87,       120.6133
348.52,       138.7676
349.17,        114.041
349.82,       55.49609
350.47,      -14.25098
351.12,      -58.32129
351.77,      -66.04297
352.43,      -45.90723
353.08,      -14.69385
353.73,     -0.4628906
354.39,      -10.34424
355.04,      -35.24805
355.70,       -60.0083
356.35,      -61.20459
357.01,      -34.33105
357.66,        10.9707
358.32,       58.14746
358.98,       81.98633
359.63,       76.66602
360.29,       51.11621
360.95,       18.95801
361.61,       2.099609
362.27,       6.102539
362.93,       22.21875
363.59,       43.35938
364.25,        58.3584
364.91,        63.0918
365.57,       63.17334
366.23,       56.01465
366.89,       36.60596
367.55,       6.953613
368.22,      -30.84961
368.88,      -63.37012
369.54,      -68.85547
370.21,      -43.57617
370.87,       5.536133
371.54,       62.19043
372.20,       99.92969
372.87,       110.5273
373.53,       99.57373
374.20,       77.73193
374.87,       62.93359
375.53,       60.62354
376.20,       66.37891
376.87,       71.26123
377.54,       61.36133
378.21,       34.90967
378.87,      -1.962402
379.54,      -35.46826
380.21,      -44.66992
380.88,      -26.33203
381.56,       11.07031
382.23,       51.55518
382.90,       69.70752
383.57,       59.32129
384.24,       29.47168
384.92,      -9.708984
385.59,      -41.47754
386.26,        -59.875
386.94,      -70.93457
387.61,      -73.23584
388.29,      -64.86377
388.96,      -46.99072
389.64,      -17.84082
390.31,       10.76123
390.99,       19.36279
391.67,       4.204102
392.34,      -32.12891
393.02,      -69.59131
393.70,      -75.16309
394.38,      -42.76123
395.06,       19.14111
395.74,       81.64063
396.42,       97.89355
397.10,       59.77246
397.78,      -16.78516
398.46,      -96.08203
399.14,      -120.7324
399.82,      -79.21436
400.50,       6.697754
401.19,       104.0508
401.87,       160.3521
402.55,       160.7637
403.24,       123.9961
403.92,       65.43359
404.61,            9.5
405.29,      -32.29492
405.98,      -67.26758
406.66,      -87.69336
