SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 12:02:33
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,       68.29785
300.89,       78.19922
301.51,       81.86719
302.13,        80.9707
302.75,       78.99414
303.37,       76.60547
303.99,       70.57031
304.62,       62.87939
305.24,       57.02246
305.86,       53.56689
306.48,       54.10547
307.11,       50.69629
307.73,        30.1709
308.36,      -8.222656
308.98,       -60.3125
309.61,      -107.4956
310.23,       -120.772
310.86,       -94.3252
311.48,       -35.3584
312.11,       31.36768
312.74,       65.72852
313.36,       58.71191
313.99,       20.77734
314.62,      -20.56738
315.25,      -20.28223
315.88,       29.80078
316.51,       112.3613
317.14,       196.4121
317.77,        233.541
318.40,       211.8115
319.03,       148.1738
319.66,       66.82861
320.29,       5.572266
320.93,      -22.21924
321.56,      -25.79688
322.19,      -15.66406
322.83,      -8.438477
323.46,      -10.44043
324.10,      -17.71484
324.73,       -22.8042
325.37,      -15.34619
326.00,       5.205078
326.64,       34.21143
327.27,       54.58691
327.91,       40.98242
328.55,      -9.449219
329.19,      -87.18408
329.83,      -164.8022
330.46,      -199.3218
331.10,      -180.4209
331.74,      -119.4063
332.38,      -43.41699
333.02,       3.130859
333.66,       8.412109
334.31,      -15.71729
334.95,      -45.65137
335.59,      -43.31738
336.23,     -0.4404297
336.87,       69.06445
337.52,       140.3213
338.16,       175.3203
338.81,       164.8848
339.45,       121.4395
340.09,       68.40527
340.74,       42.33594
341.39,       52.77539
342.03,       88.64355
342.68,       129.1938
343.33,        142.061
343.97,       118.7207
344.62,       68.89063
345.27,       12.78711
345.92,      -18.68262
346.57,      -17.05078
347.22,       10.80664
347.87,       43.05176
348.52,       45.04785
349.17,       10.69629
349.82,      -49.03125
350.47,      -103.0674
351.12,      -102.4131
351.77,      -39.26074
352.43,         67.625
353.08,       179.0488
353.73,       233.4312
354.39,       215.5923
355.04,       144.9238
355.70,       53.52295
356.35,      -6.848633
357.01,      -20.26855
357.66,      -1.424805
358.32,       31.85059
358.98,       50.86914
359.63,       47.29883
360.29,       32.11328
360.95,       16.31348
361.61,       15.49707
362.27,       33.03809
362.93,       60.81152
363.59,       89.26563
364.25,       105.1494
364.91,       104.7705
365.57,        93.0542
366.23,       75.67773
366.89,       61.54883
367.55,       53.59033
368.22,       48.53711
368.88,       45.69043
369.54,       43.76758
370.21,       42.26465
370.87,        43.5957
371.54,       44.37012
372.20,       38.58691
372.87,       25.76367
373.53,       6.490723
374.20,      -10.16699
374.87,      -9.267578
375.53,       10.91309
376.20,       45.32813
376.87,       79.31152
377.54,       89.25293
378.21,       70.70605
378.87,        32.0752
379.54,      -11.25049
380.21,      -34.49707
380.88,      -30.91211
381.56,      -8.487305
382.23,       23.36328
382.90,       49.43555
383.57,       64.12988
384.24,       71.96875
384.92,       74.57031
385.59,       74.37012
386.26,       72.74805
386.94,       68.04395
387.61,       62.17871
388.29,       58.78613
388.96,       59.62695
389.64,       66.15088
390.31,       76.06543
390.99,       85.12598
391.67,       91.80273
392.34,       94.58154
393.02,       99.19141
393.70,       115.2788
394.38,       142.4238
395.06,       176.8306
395.74,       202.6704
396.42,       194.9072
397.10,        151.043
397.78,       81.93555
398.46,       10.01074
399.14,      -29.20313
399.82,      -26.17285
400.50,       8.461914
401.19,       60.66309
401.87,       106.8877
402.55,       138.2324
403.24,       161.0078
403.92,       176.4082
404.61,       186.4805
405.29,       193.1748
405.98,       194.2754
406.66,       193.6709
407.35,       199.3789
408.03,       213.0811
408.72,       233.1865
409.41,       256.1636
410.10,       275.3804
410.79,       288.5933
411.47,       297.6943
412.16,       303.7251
412.85,       308.1304
413.54,       312.7188
414.23,       318.7539
414.92,       327.4678
415.61,       340.7617
416.31,       359.8857
417.00,       384.4102
417.69,       417.4609
418.38,       463.8691
419.08,       522.5288
419.77,       590.3584
420.46,       659.7856
421.16,       718.2217
421.85,       765.0615
422.55,        808.748
423.24,       855.8398
423.94,       916.7197
424.64,       997.2383
425.33,        1094.29
426.03,       1218.649
426.73,       1387.432
427.42,       1600.573
428.12,        1850.02
428.82,       2109.726
429.52,       2345.627
430.22,       2546.894
430.92,       2710.698
431.62,       2877.514
432.32,       3125.826
433.02,       3478.781
433.72,       3923.467
434.43,       4432.996
435.13,       4963.838
435.83,       5514.569
436.53,       6112.575
437.24,       6818.951
437.94,       7719.662
438.65,       8842.782
439.35,       10183.19
440.06,       11681.77
440.76,       13232.97
441.47,       14818.64
442.17,       16465.15
442.88,       18241.03
443.59,       20266.06
444.29,       22515.39
445.00,       24850.72
445.71,       27126.09
446.42,       29149.38
447.13,       30793.11
447.84,       32022.11
448.55,       32748.07
449.26,       32872.89
449.97,       32396.91
450.68,       31370.95
451.39,       29919.25
452.10,       28241.19
452.82,       26460.34
453.53,       24635.47
454.24,       22831.71
454.95,       21094.62
455.67,       19473.53
456.38,       18024.45
457.10,       16787.55
457.81,       15786.26
458.53,       15013.07
459.24,       14440.09
459.96,       14003.35
460.68,       13611.06
461.39,       13215.33
462.11,       12800.28
462.83,       12368.79
463.55,       11948.43
464.27,       11537.85
464.98,       11115.18
465.70,       10653.44
466.42,       10118.33
467.14,       9510.873
467.86,       8855.679
468.58,       8198.286
469.31,       7604.952
470.03,       7096.194
470.75,       6658.492
471.47,       6266.149
472.20,       5872.189
472.92,       5463.021
473.64,       5055.922
474.37,       4660.328
475.09,       4290.598
475.82,       3952.917
476.54,       3638.656
477.27,       3353.982
477.99,        3111.25
478.72,       2910.418
479.45,       2749.012
480.17,       2608.171
480.90,       2457.181
481.63,       2287.962
482.36,       2104.537
483.09,       1928.419
483.81,       1796.134
484.54,       1713.951
485.27,       1670.125
486.00,       1634.354
486.73,        1558.42
487.47,       1433.861
488.20,       1278.679
488.93,       1127.556
489.66,       1035.424
490.39,       1015.296
491.13,       1047.662
491.86,       1105.677
492.59,       1146.567
493.33,       1155.979
494.06,       1146.786
494.80,        1127.73
495.53,       1112.513
496.27,       1108.138
497.00,       1109.908
497.74,       1120.241
498.48,       1145.338
499.22,       1184.684
499.95,       1234.959
500.69,       1293.623
501.43,       1355.131
502.17,       1415.575
502.91,       1476.252
503.65,       1527.024
504.39,       1552.281
505.13,        1553.12
505.87,       1537.299
506.61,       1527.058
507.35,       1558.049
508.09,       1637.527
508.83,       1752.663
509.58,       1884.532
510.32,       2002.064
511.06,       2093.087
511.81,       2164.231
512.55,       2216.191
513.30,        2251.49
514.04,       2273.609
514.79,       2281.309
515.53,       2282.673
516.28,       2292.075
517.02,       2313.272
517.77,       2343.931
518.52,       2377.832
519.27,        2403.28
520.01,       2415.436
520.76,       2415.269
521.51,       2403.361
522.26,       2381.831
523.01,       2350.128
523.76,       2305.472
524.51,       2245.534
525.26,       2167.536
526.01,       2072.985
526.76,       1967.208
527.51,       1854.617
528.27,       1740.764
529.02,       1630.154
529.77,        1523.97
530.52,        1428.74
531.28,       1353.377
532.03,       1298.095
532.79,       1259.352
533.54,       1226.251
534.30,       1180.999
535.05,       1118.862
535.81,       1044.505
536.56,       965.1143
537.32,       893.2695
538.08,       833.4082
538.83,       781.8867
539.59,       737.3516
540.35,       697.8447
541.11,       661.6025
541.87,       629.1289
542.63,       598.8857
543.39,       567.4556
544.15,       534.4023
544.91,       501.5752
545.67,       468.4629
546.43,       434.6396
547.19,       401.3604
547.95,         368.46
548.71,       342.1685
549.48,       332.9492
550.24,       339.9937
551.00,       356.5762
551.77,       370.8418
552.53,       364.1211
553.29,       331.7734
554.06,       281.3232
554.82,        217.707
555.59,       148.9746
556.36,       82.06055
557.12,       17.73926
557.89,      -33.10449
558.66,      -53.87109
559.42,      -43.29053
560.19,      -8.035645
560.96,       37.48535
561.73,       69.11523
562.50,       78.69531
563.27,       71.76953
564.04,       50.72754
564.81,       21.45605
565.58,      -12.03906
566.35,      -52.03125
567.12,      -89.65137
567.89,      -110.4087
568.66,      -111.6182
569.43,      -95.02441
570.21,      -73.94531
570.98,      -71.43848
571.75,      -92.26855
572.53,      -130.1201
573.30,      -169.6274
574.07,      -185.5024
574.85,      -172.8037
575.62,      -141.0688
576.40,      -106.1123
577.17,      -92.74219
577.95,      -107.4238
578.73,      -141.5981
579.50,      -184.4985
580.28,      -219.0835
581.06,      -239.4824
581.84,      -250.8926
582.62,      -256.5352
583.39,      -261.3604
584.17,      -267.5156
584.95,      -272.4365
585.73,      -276.4546
586.51,      -281.3398
587.29,       -286.708
588.07,      -291.8052
588.86,      -295.5605
589.64,      -295.5166
590.42,       -291.208
591.20,      -284.4561
591.98,      -273.5059
592.77,       -255.835
593.55,      -232.0879
594.33,      -203.0234
595.12,      -177.4307
595.90,       -168.438
596.69,      -179.1733
597.47,      -208.3555
598.26,       -241.917
599.04,      -257.1416
599.83,      -248.8877
