SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 12:04:24
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,       62.60156
300.89,       97.44629
301.51,       125.7754
302.13,       138.3027
302.75,       122.1563
303.37,       78.15234
303.99,        11.5332
304.62,       -56.1626
305.24,      -90.46436
305.86,      -82.81494
306.48,      -40.94043
307.11,       15.40918
307.73,       52.35938
308.36,       61.00293
308.98,       50.89258
309.61,       36.56055
310.23,       42.41309
310.86,       72.41895
311.48,       113.5054
312.11,       153.6099
312.74,       174.8916
313.36,         172.46
313.99,       156.2012
314.62,       125.9756
315.25,       80.94141
315.88,       25.75977
316.51,      -39.30859
317.14,      -92.79297
317.77,      -100.8281
318.40,      -59.10254
319.03,       23.13184
319.66,       111.4312
320.29,       149.1396
320.93,       124.3877
321.56,       54.29932
322.19,      -25.66992
322.83,      -57.28711
323.46,       -26.5752
324.10,       45.83398
324.73,       131.8774
325.37,       187.7217
326.00,       198.6484
326.64,        177.292
327.27,       136.6699
327.91,           96.5
328.55,       65.61182
329.19,         40.896
329.83,       16.75879
330.46,      -14.63916
331.10,      -53.01074
331.74,      -94.04395
332.38,      -120.5439
333.02,      -107.6611
333.66,      -53.46387
334.31,       32.31592
334.95,       118.9111
335.59,       158.2817
336.23,       139.3511
336.87,       74.67188
337.52,      -3.724609
338.16,       -43.3457
338.81,      -30.66992
339.45,       19.78516
340.09,       78.92725
340.74,       100.1396
341.39,        71.9707
342.03,       9.083984
342.68,       -60.0249
343.33,      -91.01855
343.97,      -73.80859
344.62,      -22.86816
345.27,       32.37988
345.92,       45.71191
346.57,       7.703125
347.22,      -64.37793
347.87,      -140.4004
348.52,      -173.3223
349.17,      -151.4072
349.82,      -91.01855
350.47,      -15.11328
351.12,        40.1123
351.77,       62.96973
352.43,       64.12891
353.08,       53.52246
353.73,       47.17676
354.39,       49.92773
355.04,       54.08643
355.70,       56.40723
356.35,       53.38477
357.01,       43.93555
357.66,       32.27539
358.32,       17.58398
358.98,      -3.166992
359.63,      -28.67676
360.29,       -57.2959
360.95,      -81.56934
361.61,      -89.68652
362.27,      -79.76563
362.93,       -55.7998
363.59,      -27.00684
364.25,      -8.245117
364.91,      -4.010742
365.57,      -10.78809
366.23,      -22.31689
366.89,      -28.41699
367.55,      -25.29492
368.22,      -14.61035
368.88,      -1.124023
369.54,       8.004883
370.21,        10.8125
370.87,       7.745117
371.54,       7.306641
372.20,       22.94336
372.87,       55.03809
373.53,       98.25146
374.20,       134.4902
374.87,        135.064
375.53,       96.32666
376.20,       30.40527
376.87,      -39.93848
377.54,      -78.58984
378.21,      -75.50879
378.87,      -42.10547
379.54,       8.726074
380.21,       56.01807
380.88,       89.89941
381.56,       113.9624
382.23,       126.7075
382.90,       125.6963
383.57,       112.3916
384.24,       88.71191
384.92,       57.12891
385.59,       23.19141
386.26,         -8.875
386.94,       -38.8125
387.61,      -56.01855
388.29,      -45.49121
388.96,      -6.761719
389.64,       54.93311
390.31,       118.4033
390.99,       149.7021
391.67,       140.7817
392.34,        99.7998
393.02,       47.92285
393.70,       20.58545
394.38,       26.72363
395.06,       55.98926
395.74,       89.90527
396.42,       98.76074
397.10,       75.65625
397.78,       31.53125
398.46,      -16.72754
399.14,      -43.27246
399.82,      -41.27148
400.50,      -19.24805
401.19,       9.931641
401.87,       26.02344
402.55,       23.90234
403.24,       11.22852
403.92,       -2.69043
404.61,      -3.657227
405.29,        12.1709
405.98,         38.625
406.66,       70.12109
407.35,       98.99219
408.03,        120.957
408.72,       136.4741
409.41,       145.2822
410.10,       146.9248
410.79,       141.9419
411.47,       131.7393
412.16,       115.0132
412.85,       89.93262
413.54,       58.86328
414.23,       24.67383
414.92,      -2.391602
415.61,      -6.967773
416.31,       12.85742
417.00,       50.99512
417.69,       94.33887
418.38,       121.8599
419.08,        126.855
419.77,       114.0156
420.46,       89.88965
421.16,        66.0708
421.85,       47.16797
422.55,       30.86328
423.24,       16.34277
423.94,       1.933594
424.64,      -11.20508
425.33,      -18.91064
426.03,      -18.13037
426.73,      -5.700684
427.42,        18.8125
428.12,       52.52246
428.82,       94.44727
429.52,       143.5801
430.22,       196.9717
430.92,       252.4141
431.62,       302.7266
432.32,       337.6699
433.02,       355.4805
433.72,       359.3418
434.43,       358.0278
435.13,       365.8125
435.83,       388.2915
436.53,       424.9419
437.24,       472.1826
437.94,       522.3438
438.65,       575.1812
439.35,       635.7344
440.06,       711.0107
440.76,       810.5576
441.47,       935.5898
442.17,        1080.45
442.88,       1236.009
443.59,        1389.39
444.29,        1532.48
445.00,       1660.786
445.71,       1773.193
446.42,       1871.511
447.13,       1951.542
447.84,       2006.535
448.55,       2024.537
449.26,        1989.84
449.97,       1900.647
450.68,       1764.667
451.39,       1597.891
452.10,       1424.362
452.82,       1256.261
453.53,       1097.075
454.24,       944.4521
454.95,       789.9678
455.67,       636.0469
456.38,       491.1807
457.10,       371.2363
457.81,       298.2061
458.53,       274.4336
459.24,       289.6299
459.96,       322.7002
460.68,       341.0742
461.39,       334.0459
462.11,       307.5479
462.83,       272.3086
463.55,       248.1172
464.27,       240.1055
464.98,        240.167
465.70,       241.7002
466.42,        235.374
467.14,       218.5225
467.86,       196.2539
468.58,        171.876
469.31,       148.8926
470.03,        130.292
470.75,       116.9365
471.47,       110.1484
472.20,       111.8018
472.92,       122.5986
473.64,        141.874
474.37,       171.1035
475.09,       212.2764
475.82,       263.5791
476.54,       322.1523
477.27,       380.3076
477.99,       426.6016
478.72,       458.4023
479.45,       478.9541
480.17,       494.9531
480.90,       517.4941
481.63,       550.8125
482.36,        593.042
483.09,       641.4434
483.81,       691.4932
484.54,       740.6602
485.27,       788.0996
486.00,        835.792
486.73,       887.0674
487.47,       940.7393
488.20,       994.6943
488.93,       1039.437
489.66,       1060.577
490.39,       1058.068
491.13,       1040.253
491.86,       1024.366
492.59,        1036.49
493.33,       1085.917
494.06,       1169.253
494.80,       1277.868
495.53,       1395.896
496.27,       1518.222
497.00,        1648.29
497.74,       1793.004
498.48,       1963.276
499.22,       2159.693
499.95,       2376.114
500.69,       2599.401
501.43,       2810.739
502.17,       3006.853
502.91,        3195.06
503.65,       3393.023
504.39,       3627.415
505.13,       3908.947
505.87,       4237.916
506.61,       4602.625
507.35,       4981.568
508.09,       5372.938
508.83,        5785.26
509.58,       6243.691
510.32,       6786.689
511.06,       7418.075
511.81,       8120.443
512.55,       8855.614
513.30,       9564.892
514.04,       10231.32
514.79,       10868.12
515.53,       11503.58
516.28,       12185.14
517.02,        12925.9
517.77,       13712.02
518.52,       14519.54
519.27,       15310.54
520.01,       16075.11
520.76,       16823.47
521.51,       17576.31
522.26,       18367.12
523.01,       19195.41
523.76,       20035.58
524.51,       20853.28
525.26,       21599.38
526.01,       22254.61
526.76,       22826.46
527.51,        23318.5
528.27,       23742.87
529.02,       24103.72
529.77,       24392.08
530.52,       24623.77
531.28,       24822.51
532.03,       25000.49
532.79,       25174.16
533.54,        25313.7
534.30,       25366.23
535.05,        25329.7
535.81,        25215.5
536.56,       25114.71
537.32,       25170.62
538.08,       25400.59
538.83,       25759.45
539.59,       26096.63
540.35,       26170.42
541.11,       25935.92
541.87,       25474.39
542.63,       24956.59
543.39,       24657.66
544.15,       24646.39
544.91,       24833.27
545.67,       25085.68
546.43,       25191.58
547.19,        25081.6
547.95,       24814.45
548.71,       24453.14
549.48,        24098.2
550.24,       23780.68
551.00,       23462.36
551.77,       23106.75
552.53,       22663.63
553.29,       22128.18
554.06,        21536.1
554.82,       20932.14
555.59,       20377.72
556.36,       19888.87
557.12,       19441.63
557.89,       19010.57
558.66,       18555.45
559.42,       18057.77
560.19,        17527.4
560.96,       16955.69
561.73,       16329.61
562.50,       15654.66
563.27,       14939.31
564.04,       14214.22
564.81,       13529.27
565.58,       12900.79
566.35,       12321.63
567.12,       11777.74
567.89,       11241.44
568.66,       10702.31
