SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 11:59:05
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,600ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,      -254.8521
300.89,      -310.3091
301.51,      -412.1831
302.13,      -516.2695
302.75,      -552.3066
303.37,       -504.208
303.99,      -398.6011
304.62,      -271.2324
305.24,      -177.5654
305.86,      -137.2451
306.48,      -135.6367
307.11,      -160.4463
307.73,      -191.9331
308.36,      -220.6553
308.98,      -251.0391
309.61,      -283.7173
310.23,      -318.2144
310.86,      -351.8467
311.48,      -379.9805
312.11,      -392.7998
312.74,      -378.1646
313.36,      -336.2031
313.99,      -273.7378
314.62,      -208.4712
315.25,      -167.3496
315.88,      -158.8535
316.51,      -178.4331
317.14,      -213.2988
317.77,      -241.5024
318.40,      -255.3979
319.03,      -257.7368
319.66,      -258.5703
320.29,      -274.5889
320.93,      -307.1719
321.56,      -348.9395
322.19,       -379.686
322.83,      -369.1597
323.46,      -313.1226
324.10,      -223.3818
324.73,      -128.5239
325.37,      -72.82959
326.00,      -68.75195
326.64,      -106.4189
327.27,      -161.1016
327.91,       -192.187
328.55,      -188.2461
329.19,      -158.5229
329.83,      -126.8301
330.46,      -131.2822
331.10,      -178.3838
331.74,      -254.3232
332.38,      -325.7778
333.02,      -341.3062
333.66,       -291.665
334.31,      -195.3198
334.95,      -91.39746
335.59,      -42.05615
336.23,      -61.72119
336.87,      -129.5396
337.52,      -213.2407
338.16,      -260.3428
338.81,      -256.7197
339.45,      -222.0576
340.09,       -172.896
340.74,      -135.0454
341.39,      -118.6099
342.03,      -112.6724
342.68,      -120.7666
343.33,      -150.3008
343.97,      -197.9194
344.62,      -261.0493
345.27,      -319.5894
345.92,      -340.2144
346.57,      -316.2158
347.22,       -256.791
347.87,      -183.2549
348.52,      -131.3906
349.17,      -112.0986
349.82,      -117.0049
350.47,      -133.8687
351.12,      -141.5381
351.77,      -134.7969
352.43,      -122.5347
353.08,      -113.1978
353.73,      -119.0615
354.39,        -142.48
355.04,      -175.8457
355.70,      -213.7285
356.35,      -249.0156
357.01,      -278.0176
357.66,      -302.9429
358.32,      -320.0454
358.98,      -323.6147
359.63,      -314.0874
360.29,      -292.9414
360.95,      -270.8179
361.61,      -265.0112
362.27,      -279.1504
362.93,      -309.1255
363.59,      -342.4434
364.25,      -358.2104
364.91,      -351.6108
365.57,      -328.8921
366.23,      -302.0513
366.89,      -290.5942
367.55,      -298.9302
368.22,      -319.8379
368.88,      -342.9888
369.54,        -352.27
370.21,      -343.3975
370.87,      -322.5269
371.54,      -296.1436
372.20,      -273.9551
372.87,      -259.9868
373.53,      -251.7139
374.20,      -247.9634
374.87,      -247.3745
375.53,      -248.2402
376.20,      -249.7051
376.87,      -251.7754
377.54,      -253.9736
378.21,        -255.52
378.87,      -257.3242
379.54,      -254.1733
380.21,      -237.6133
380.88,      -209.1201
381.56,      -174.0356
382.23,      -145.5195
382.90,       -144.666
383.57,      -174.1948
384.24,      -223.2656
384.92,      -280.2646
385.59,      -326.9531
386.26,      -354.5537
386.94,      -367.1011
387.61,      -357.9663
388.29,      -317.4175
388.96,      -249.1182
389.64,      -160.2397
390.31,      -71.95654
390.99,      -18.04395
391.67,      -7.626953
392.34,      -32.21045
393.02,      -79.43359
393.70,      -126.8774
394.38,      -165.1279
395.06,      -199.1538
395.74,       -226.062
396.42,      -241.8345
397.10,      -247.4531
397.78,       -242.728
398.46,      -235.7217
399.14,      -241.6997
399.82,      -263.5693
400.50,      -295.9551
401.19,      -333.1587
401.87,      -364.9565
402.55,      -387.1685
403.24,      -403.3096
403.92,      -409.2119
404.61,      -398.6431
405.29,       -372.291
405.98,      -331.4551
