SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 12:28:20
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,       9.880859
300.89,      -27.59277
301.51,      -74.35254
302.13,      -115.5371
302.75,      -127.8086
303.37,      -107.1729
303.99,       -60.1582
304.62,       -7.40918
305.24,       17.54395
305.86,       7.407715
306.48,      -27.80371
307.11,      -66.55469
307.73,       -73.9668
308.36,      -41.92578
308.98,       17.38477
309.61,       84.19531
310.23,       127.9556
310.86,       138.8345
311.48,        124.125
312.11,       97.17871
312.74,       79.20703
313.36,       76.28125
313.99,        83.4209
314.62,       87.17188
315.25,       66.27148
315.88,       19.16602
316.51,      -43.61621
317.14,      -99.66504
317.77,      -114.7646
318.40,      -82.66797
319.03,      -16.92578
319.66,       60.30273
320.29,       113.7803
320.93,       132.1919
321.56,       125.2852
322.19,       101.3008
322.83,       74.54004
323.46,        51.4834
324.10,       27.44238
324.73,       6.089355
325.37,      -6.001465
326.00,      -7.973145
326.64,      0.5449219
327.27,       12.40332
327.91,       14.50977
328.55,       3.326172
329.19,      -19.03223
329.83,      -44.99609
330.46,      -61.87793
331.10,      -66.31494
331.74,      -60.57422
332.38,      -53.67773
333.02,       -60.3584
333.66,      -82.08496
334.31,      -112.7949
334.95,       -137.916
335.59,      -134.4688
336.23,      -99.24072
336.87,      -42.73828
337.52,        18.9541
338.16,       60.64355
338.81,        74.3916
339.45,       67.96094
340.09,       46.60986
340.74,       19.25098
341.39,      -8.147461
342.03,       -36.7832
342.68,      -59.58936
343.33,      -65.16016
343.97,      -51.97852
344.62,      -23.01563
345.27,       13.37598
345.92,       42.16211
346.57,       58.50684
347.22,       66.05566
347.87,       66.14355
348.52,       62.22949
349.17,       56.13574
349.82,       45.31348
350.47,       34.86523
351.12,       33.50293
351.77,       42.31152
352.43,       60.21973
353.08,       77.05664
353.73,       75.53809
354.39,       53.20117
355.04,       16.02832
355.70,       -21.9375
356.35,      -37.95313
357.01,       -27.3125
357.66,       1.630859
358.32,       36.43066
358.98,       57.13965
359.63,       57.74902
360.29,       44.99219
360.95,       24.01953
361.61,        2.93457
362.27,      -13.92773
362.93,      -28.41309
363.59,      -37.50781
364.25,      -36.29297
364.91,      -24.11035
365.57,      -1.626953
366.23,       26.29443
366.89,       51.30078
367.55,       69.63965
368.22,       80.50977
368.88,       86.28613
369.54,       91.81055
370.21,       97.87305
370.87,       103.7256
371.54,       102.7676
372.20,       84.81348
372.87,       50.00879
373.53,       3.417969
374.20,      -40.06836
374.87,      -57.66309
375.53,       -44.5498
376.20,      -7.330078
376.87,       37.75488
377.54,       64.34961
378.21,       64.97852
378.87,        45.9248
379.54,       20.06836
380.21,       8.670898
380.88,       16.92139
381.56,       38.00684
382.23,       59.55811
382.90,       62.22119
383.57,       42.55566
384.24,       8.712891
384.92,      -25.85938
385.59,       -40.3916
386.26,      -30.39844
386.94,       -4.53418
387.61,       26.90234
388.29,       47.94824
388.96,       52.77051
389.64,       46.49512
390.31,       30.36914
390.99,       6.027344
391.67,      -22.85645
392.34,      -54.67676
393.02,        -82.896
393.70,      -96.83301
394.38,      -94.16895
395.06,      -78.88965
395.74,      -54.26074
396.42,      -25.92969
397.10,      0.7441406
397.78,       24.06152
398.46,       36.56836
399.14,       26.90625
399.82,       -4.84668
400.50,      -51.44238
401.19,      -104.5488
401.87,       -150.501
402.55,      -182.6777
403.24,       -204.126
403.92,      -206.6094
404.61,      -178.6592
405.29,        -122.29
405.98,      -42.61914
406.66,       36.01563
407.35,       75.05371
408.03,       65.45508
408.72,       15.84473
409.41,      -48.39453
410.10,      -84.60889
410.79,      -81.42725
411.47,      -49.54199
412.16,      -11.22705
412.85,      -2.972656
