SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 12:21:03
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,       -85.0166
300.89,      -42.23047
301.51,       18.35742
302.13,       77.50391
302.75,       104.5723
303.37,       92.76367
303.99,       51.70508
304.62,      -1.166016
305.24,      -37.26367
305.86,      -47.61963
306.48,      -39.88184
307.11,      -22.67383
307.73,      -10.31055
308.36,      -7.594727
308.98,      -9.400391
309.61,      -12.15137
310.23,      -11.27051
310.86,      -5.362793
311.48,       3.097168
312.11,       10.94043
312.74,       14.43359
313.36,       12.66895
313.99,       6.617188
314.62,       1.037109
315.25,       3.018555
315.88,       14.04395
316.51,       32.78125
317.14,        51.7666
317.77,       59.03125
318.40,       52.44043
319.03,       35.18652
319.66,       18.06738
320.29,       18.52734
320.93,       39.43066
321.56,       74.38574
322.19,       109.6621
322.83,       123.6846
323.46,       111.1875
324.10,       79.07129
324.73,       39.52588
325.37,       11.73682
326.00,       2.196777
326.64,       7.094727
327.27,       18.65039
327.91,       24.11523
328.55,       20.44043
329.19,       11.32617
329.83,       6.057617
330.46,       19.15088
331.10,       51.43457
331.74,       95.18701
332.38,       135.6523
333.02,       150.2578
333.66,       134.3271
334.31,       96.78662
334.95,       49.41943
335.59,       11.07959
336.23,      -10.89893
336.87,      -21.26953
337.52,      -20.03711
338.16,      -7.820313
338.81,       12.62402
339.45,       41.05273
340.09,       69.62891
340.74,        85.0918
341.39,       84.30762
342.03,       70.04736
342.68,       48.52881
343.33,       31.27441
343.97,       21.86914
344.62,       16.81348
345.27,       14.61719
345.92,       12.68555
346.57,       9.509766
347.22,       6.786133
347.87,       2.451172
348.52,      -7.888672
349.17,      -23.58105
349.82,         -41.75
350.47,      -58.33691
351.12,       -66.2793
351.77,      -64.26172
352.43,      -56.62305
353.08,          -42.5
353.73,      -20.81055
354.39,       6.365234
355.04,       39.22949
355.70,       64.96875
356.35,       63.36914
357.01,       32.63281
357.66,      -20.86621
358.32,      -74.26563
358.98,      -90.46582
359.63,      -62.19238
360.29,      -1.316406
360.95,       67.85156
361.61,       105.4854
362.27,       101.4785
362.93,       68.88379
363.59,       24.40527
364.25,      -4.608398
364.91,      -10.13965
365.57,      -2.822266
366.23,        11.9707
366.89,       26.00244
367.55,       35.75586
368.22,       47.12305
368.88,        53.7832
369.54,       44.61719
370.21,       19.04004
370.87,      -22.16992
371.54,      -60.81152
372.20,      -66.83301
372.87,      -35.54785
373.53,       24.95703
374.20,       86.78711
374.87,       104.5195
375.53,        69.6748
376.20,      -2.485352
376.87,      -79.46191
377.54,      -109.3789
378.21,      -79.48926
378.87,      -6.520508
379.54,       81.60938
380.21,       140.8599
380.88,       157.0137
381.56,       140.6392
382.23,       109.5571
382.90,       92.33008
383.57,       96.53418
384.24,       113.6875
384.92,       125.6641
385.59,       104.6523
386.26,       47.80078
386.94,      -31.41895
387.61,      -105.5625
388.29,      -133.0952
388.96,      -105.0425
389.64,      -35.76172
390.31,       49.45898
390.99,       109.8867
391.67,       133.1182
392.34,       130.4521
393.02,        114.147
393.70,        105.165
394.38,       109.5415
395.06,       117.2529
395.74,       125.0967
396.42,       129.7734
397.10,       128.8047
397.78,       126.0713
398.46,       116.5088
399.14,       89.55566
399.82,       47.11035
400.50,      -3.686523
401.19,      -49.76465
401.87,      -69.98535
402.55,      -60.04688
403.24,      -29.80664
403.92,       15.45508
404.61,       66.83008
405.29,       116.9844
405.98,       167.3711
406.66,       201.4678
407.35,       193.8594
408.03,       143.3662
408.72,       58.89746
409.41,      -28.65332
410.10,      -69.20361
410.79,      -50.52979
411.47,       14.29297
412.16,       97.63379
412.85,       153.3706
413.54,        167.793
414.23,       152.7256
414.92,       126.5957
415.61,       119.5918
416.31,       138.9023
417.00,       172.9795
417.69,       205.3438
418.38,       211.2769
419.08,       186.6006
419.77,       143.5254
420.46,       98.93555
421.16,       77.97656
421.85,       88.18359
422.55,       121.5889
423.24,       170.8672
423.94,       223.5352
424.64,       274.9961
425.33,       330.7285
426.03,       387.7422
426.73,       441.0444
427.42,       490.5576
428.12,        534.373
428.82,       583.7354
429.52,       658.6318
430.22,       760.7412
430.92,       883.1738
431.62,        1006.54
432.32,       1099.378
433.02,       1157.476
433.72,       1196.056
434.43,       1238.472
435.13,        1320.18
435.83,       1456.789
436.53,       1646.328
437.24,       1886.244
437.94,       2168.081
438.65,       2490.974
439.35,       2862.268
440.06,       3286.166
440.76,       3765.232
441.47,       4297.388
442.17,       4874.694
442.88,       5482.828
443.59,       6104.445
444.29,       6722.001
445.00,       7313.868
445.71,       7871.694
446.42,       8394.563
447.13,       8860.783
447.84,       9242.966
448.55,       9496.555
449.26,       9561.748
449.97,       9428.046
450.68,       9122.719
451.39,       8684.577
452.10,       8173.679
452.82,       7631.136
453.53,        7073.79
454.24,        6530.43
454.95,        6032.48
455.67,       5595.354
456.38,       5225.203
457.10,       4924.433
457.81,       4684.482
458.53,       4494.956
459.24,       4351.821
459.96,       4224.656
460.68,        4068.58
461.39,       3873.367
462.11,       3645.495
462.83,         3417.7
463.55,       3248.714
464.27,       3149.802
464.98,       3098.668
465.70,       3063.404
466.42,       2993.335
467.14,       2872.426
467.86,       2716.304
468.58,       2538.004
469.31,       2358.084
470.03,       2186.716
470.75,       2019.311
471.47,       1858.861
472.20,       1710.914
472.92,       1577.083
473.64,       1459.291
474.37,       1357.019
475.09,       1265.768
475.82,       1183.972
476.54,       1113.064
477.27,       1047.733
477.99,       980.9238
478.72,       910.3799
479.45,       833.6094
480.17,       761.6348
480.90,       713.3125
481.63,       690.5166
482.36,       688.7695
483.09,       684.7251
483.81,       640.4111
484.54,       551.7954
485.27,       434.1631
486.00,       321.5264
486.73,        268.459
487.47,       286.0059
488.20,       353.0732
488.93,       442.0977
489.66,       508.1309
490.39,       536.3828
491.13,       542.5786
491.86,       528.5659
492.59,       498.0874
493.33,       457.9067
494.06,       404.1074
494.80,       360.8965
495.53,       368.9678
496.27,          432.5
497.00,       539.1377
497.74,       648.8638
498.48,       695.6177
499.22,       664.5967
499.95,        576.209
500.69,       467.2178
501.43,       397.6816
502.17,       385.7793
502.91,       414.6421
503.65,       462.9072
504.39,       496.3828
505.13,       503.6206
505.87,       494.9512
506.61,       483.2207
507.35,       486.6533
508.09,       510.2734
508.83,       548.7842
509.58,        586.249
510.32,       599.1484
511.06,       584.6738
511.81,       551.1465
512.55,       525.8467
513.30,       551.3486
514.04,       634.2168
514.79,       758.4775
515.53,       888.2188
516.28,       967.0791
517.02,       979.5566
517.77,       940.1426
518.52,       877.8896
519.27,        840.001
520.01,       840.9707
520.76,       869.8369
521.51,       903.4014
522.26,       904.9082
523.01,        866.627
523.76,       800.6396
524.51,       737.7988
525.26,        725.002
526.01,       770.2939
526.76,       857.5879
527.51,       944.6475
528.27,       965.4531
529.02,       905.7676
529.77,       785.6406
530.52,       650.5576
531.28,        573.791
532.03,        572.708
532.79,       624.0947
533.54,        687.021
534.30,       695.8477
535.05,       634.6309
535.81,       527.3057
536.56,       406.4375
537.32,       322.4004
538.08,       290.3477
538.83,       293.6113
539.59,       314.3887
