SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 12:31:49
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,      -21.63379
300.89,      -16.95898
301.51,      -3.946289
302.13,       11.10938
302.75,       17.08789
303.37,        12.0498
303.99,      -2.638672
304.62,      -13.84668
305.24,     -0.3813477
305.86,       40.21338
306.48,       100.9463
307.11,       158.9893
307.73,       178.0889
308.36,       151.6377
308.98,       91.61426
309.61,       24.87695
310.23,      -5.258301
310.86,       11.45313
311.48,       60.69043
312.11,       120.0771
312.74,        153.668
313.36,       150.8896
313.99,       123.4424
314.62,       83.79395
315.25,       51.30762
315.88,       33.32324
316.51,       24.33398
317.14,          20.75
317.77,       17.45117
318.40,       13.20801
319.03,       11.26855
319.66,       14.64697
320.29,       27.04102
320.93,       47.39404
321.56,       70.86621
322.19,       92.26953
322.83,       104.4424
323.46,        105.083
324.10,       97.43457
324.73,       80.89307
325.37,       54.55615
326.00,        21.6958
326.64,      -14.89453
327.27,      -44.18555
327.91,      -49.35156
328.55,      -27.58887
329.19,       15.25684
329.83,        66.8374
330.46,       107.0444
331.10,       128.2793
331.74,       133.3428
332.38,       126.4004
333.02,       115.5244
333.66,       103.7051
334.31,       89.06934
334.95,       68.97852
335.59,       39.84082
336.23,       2.759277
336.87,       -38.3877
337.52,        -74.625
338.16,      -93.49121
338.81,      -92.13672
339.45,      -73.37598
340.09,       -47.2915
340.74,      -30.55957
341.39,      -27.30029
342.03,      -33.47266
342.68,       -39.5376
343.33,      -29.35938
343.97,     -0.4833984
344.62,        39.5459
345.27,       80.40332
345.92,       106.2324
346.57,       112.9346
347.22,       107.0771
347.87,       93.57422
348.52,       79.88184
349.17,        70.3623
349.82,       63.20215
350.47,       62.53027
351.12,        75.4209
351.77,        100.582
352.43,       133.2832
353.08,       164.8564
353.73,       180.9258
354.39,       177.5498
355.04,       160.3701
355.70,       129.8682
356.35,       87.62598
357.01,       38.13965
357.66,       -17.5752
358.32,      -64.51465
358.98,      -79.30762
359.63,      -58.83691
360.29,      -10.09375
360.95,       45.59766
361.61,       72.88574
362.27,       63.05859
362.93,       26.16699
363.59,      -20.72754
364.25,      -49.02246
364.91,      -50.61621
365.57,      -35.11719
366.23,       -11.8418
366.89,       4.666992
367.55,       9.482422
368.22,       8.535156
368.88,       4.381836
369.54,     -0.2333984
370.21,      -3.047852
370.87,      -4.914063
371.54,      -4.234375
372.20,       2.473633
372.87,       15.44043
373.53,       32.77539
374.20,       53.68262
374.87,       76.66309
375.53,       99.58008
376.20,         121.79
376.87,       138.1084
377.54,       140.5498
378.21,        128.999
378.87,       107.6123
379.54,       84.44727
380.21,       72.32715
380.88,       75.26611
381.56,       89.67676
382.23,       112.5869
382.90,       138.8413
383.57,       164.3975
384.24,       188.2734
384.92,       206.1738
385.59,       211.9365
386.26,       203.7695
386.94,       182.8398
387.61,       151.3779
388.29,       113.6152
388.96,       73.57715
389.64,       33.99414
390.31,       -1.06543
390.99,      -26.23926
391.67,       -39.8125
392.34,       -43.2373
393.02,      -35.22412
393.70,      -15.28711
394.38,       14.98291
395.06,       55.46387
395.74,       94.80762
396.42,       116.1133
397.10,       115.5059
397.78,       93.77246
398.46,       69.14355
399.14,       72.28906
399.82,       107.5586
400.50,       165.7998
401.19,       218.0068
401.87,       217.1953
402.55,       156.3145
403.24,       54.11719
403.92,      -54.24121
404.61,      -112.9512
405.29,      -107.9619
405.98,      -58.38184
406.66,        12.6748
407.35,       67.60156
408.03,       92.85156
408.72,       100.5322
409.41,       92.75391
410.10,       72.53223
410.79,       45.00195
411.47,       8.580078
412.16,      -24.03955
412.85,      -30.70898
413.54,      -7.407227
414.23,       40.22266
414.92,       98.11914
415.61,       141.7764
416.31,       163.5254
417.00,       169.0508
417.69,       164.2036
418.38,       159.8945
419.08,       159.1279
419.77,       156.3877
420.46,       151.0596
421.16,       142.8779
421.85,       132.1689
422.55,       123.2129
423.24,       112.5459
423.94,       92.85352
424.64,       65.31055
425.33,       33.26855
426.03,       10.59961
426.73,       18.54297
427.42,       59.63184
428.12,       127.1279
428.82,        202.248
429.52,       250.4004
430.22,       265.2627
430.92,        265.209
431.62,       259.1387
432.32,       252.9756
433.02,       252.6357
433.72,       260.2109
434.43,       274.2432
435.13,       289.8213
435.83,       306.2744
