SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 12:08:33
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,       108.5396
300.89,       99.65625
301.51,       87.45801
302.13,       70.74707
302.75,        48.4248
303.37,       21.44531
303.99,      -9.168945
304.62,      -34.88184
305.24,       -43.5415
305.86,      -33.31689
306.48,      -6.427246
307.11,       21.56934
307.73,       25.55176
308.36,       1.040039
308.98,      -45.16797
309.61,      -91.18018
310.23,      -101.5278
310.86,      -69.33203
311.48,      -6.353516
312.11,       61.91406
312.74,       95.01563
313.36,       82.79297
313.99,       37.30664
314.62,      -18.91992
315.25,      -49.91895
315.88,      -45.74707
316.51,      -16.71094
317.14,       19.09961
317.77,       32.99219
318.40,       18.29688
319.03,      -14.77783
319.66,      -48.69336
320.29,      -56.44727
320.93,      -32.55615
321.56,       12.09863
322.19,       60.14063
322.83,       84.94629
323.46,       79.32227
324.10,        52.1543
324.73,       15.35889
325.37,      -12.35059
326.00,      -24.38428
326.64,       -25.6377
327.27,      -20.78125
327.91,      -17.31641
328.55,      -17.39746
329.19,      -17.83252
329.83,      -15.96729
330.46,      -7.984375
331.10,       5.158203
331.74,        18.4458
332.38,        28.3584
333.02,        30.0332
333.66,       22.65527
334.31,       11.07227
334.95,      -7.657227
335.59,      -38.38574
336.23,      -78.49854
336.87,      -125.7207
337.52,      -161.0947
338.16,       -155.248
338.81,      -104.4775
339.45,      -18.19727
340.09,       73.99414
340.74,       124.4023
341.39,       121.4238
342.03,       77.17236
342.68,       19.23682
343.33,      -6.154297
343.97,       11.51758
344.62,       56.12402
345.27,       104.0039
345.92,       117.3799
346.57,       87.78418
347.22,       32.06152
347.87,      -33.54297
348.52,      -84.73145
349.17,      -112.0986
349.82,      -123.9492
350.47,      -118.9639
351.12,      -94.96875
351.77,      -55.15527
352.43,      0.3759766
353.08,       56.10449
353.73,       86.43555
354.39,       85.98242
355.04,       59.56836
355.70,       25.85059
356.35,       16.95898
357.01,       39.62598
357.66,       83.53711
358.32,       129.7314
358.98,       147.4346
359.63,       129.7764
360.29,       88.76367
360.95,       39.70215
361.61,       6.394531
362.27,      -3.621094
362.93,       1.678711
363.59,       16.98633
364.25,       33.87598
364.91,       48.44238
365.57,       64.42969
366.23,       78.47217
366.89,       84.39648
367.55,        81.8335
368.22,       71.15234
368.88,       60.16309
369.54,       62.73047
370.21,       80.95801
370.87,       110.0566
371.54,       140.5352
372.20,       156.6006
372.87,       154.8105
373.53,       141.4961
374.20,        122.709
374.87,       108.3364
375.53,       101.8032
376.20,       98.53613
376.87,        100.499
377.54,       111.0791
378.21,       128.6475
378.87,       152.3574
379.54,       170.7549
380.21,       165.1943
380.88,       133.1528
381.56,       80.91602
382.23,        24.9043
382.90,      -8.419434
383.57,      -11.65625
384.24,       8.973633
384.92,       40.69727
385.59,       62.15723
386.26,       67.26367
386.94,       61.82617
387.61,       56.01758
388.29,       65.84375
388.96,        94.3916
389.64,       134.9487
390.31,       174.8467
390.99,       195.6182
391.67,       192.1602
392.34,        168.748
393.02,       138.5278
393.70,       122.1943
394.38,       125.1348
395.06,       143.3706
395.74,       161.0596
396.42,       152.6855
397.10,       114.5117
397.78,       55.67578
398.46,      0.7832031
399.14,      -12.07813
399.82,       24.86621
400.50,       99.73047
401.19,       183.7783
401.87,       231.3623
402.55,       230.7363
403.24,       193.7324
403.92,       146.6123
404.61,        132.458
405.29,       160.4268
405.98,       215.1084
406.66,       270.5928
407.35,       285.9736
408.03,       253.0723
408.72,       189.7905
409.41,       118.2935
410.10,       72.42773
410.79,       63.29053
411.47,       79.35107
412.16,       114.5869
412.85,       159.7061
413.54,       207.4492
414.23,       259.3262
414.92,       305.4668
415.61,       329.3379
416.31,        329.127
417.00,        310.377
417.69,       284.9761
418.38,       273.7778
419.08,       284.0415
419.77,       310.9443
420.46,       354.5859
421.16,       413.1182
421.85,       484.3564
422.55,       570.7139
423.24,       661.7002
423.94,       740.2988
424.64,       803.1357
425.33,       852.0864
426.03,       905.9019
426.73,       995.1812
427.42,        1127.45
428.12,       1298.544
428.82,       1482.677
429.52,       1637.569
430.22,       1757.437
430.92,       1856.444
431.62,       1976.645
432.32,       2185.048
433.02,       2494.324
433.72,       2883.069
434.43,       3305.975
435.13,       3688.762
435.83,       4019.595
436.53,       4335.556
437.24,       4681.532
437.94,       5124.127
438.65,       5693.085
439.35,       6379.766
440.06,       7185.107
440.76,       8103.418
441.47,       9127.606
442.17,       10257.19
442.88,       11465.72
443.59,       12712.46
444.29,        13964.3
445.00,       15181.93
445.71,       16351.78
446.42,       17477.55
447.13,       18518.28
447.84,       19415.83
448.55,       20083.29
449.26,       20406.29
449.97,       20355.41
450.68,       19968.16
451.39,       19301.77
452.10,       18450.54
452.82,       17479.43
453.53,       16417.03
454.24,       15314.49
454.95,       14227.41
455.67,        13196.8
456.38,       12257.88
457.10,       11428.87
457.81,       10710.62
458.53,        10101.4
459.24,       9595.801
459.96,       9182.011
460.68,        8841.82
461.39,       8554.311
462.11,       8301.333
462.83,       8050.542
463.55,       7763.588
464.27,       7426.764
464.98,       7039.785
465.70,       6625.349
466.42,       6226.848
467.14,       5857.467
467.86,       5511.004
468.58,       5170.262
469.31,       4803.517
470.03,        4410.15
470.75,       4011.635
471.47,       3636.638
472.20,       3326.139
472.92,       3090.331
473.64,       2912.989
474.37,       2777.577
475.09,       2657.747
475.82,       2539.728
476.54,       2427.264
477.27,       2309.434
477.99,       2171.191
478.72,       2011.163
479.45,       1830.293
480.17,       1649.053
480.90,       1502.953
481.63,       1400.668
482.36,       1334.991
483.09,       1284.614
483.81,       1213.375
484.54,       1112.718
485.27,       993.2549
486.00,       876.7822
486.73,       797.8662
487.47,       763.8691
488.20,       762.8623
488.93,       771.6143
489.66,       753.6553
490.39,       701.2529
491.13,       627.7373
491.86,       554.7002
492.59,       516.5283
493.33,       521.1318
494.06,       554.2236
494.80,       601.2646
495.53,       639.7686
496.27,       661.1904
497.00,       673.5059
497.74,       675.8091
498.48,        665.915
499.22,       647.8682
499.95,       623.5996
500.69,       606.4434
501.43,       619.1123
502.17,       664.6357
502.91,       733.4028
503.65,       813.3555
504.39,         883.75
505.13,       936.8228
505.87,       979.6284
506.61,       1006.241
507.35,       1008.463
508.09,       988.9678
508.83,       949.4297
509.58,        915.333
510.32,       927.8789
511.06,       993.9346
511.81,       1102.298
512.55,       1217.407
513.30,       1281.021
514.04,       1279.075
514.79,       1227.046
515.53,       1159.068
516.28,       1131.328
517.02,       1157.008
517.77,       1217.679
518.52,        1282.68
519.27,       1302.989
520.01,        1268.26
520.76,       1199.053
521.51,       1120.745
522.26,       1072.448
523.01,       1065.073
523.76,        1082.45
524.51,       1115.017
525.26,       1148.315
526.01,       1173.885
526.76,       1197.192
527.51,       1205.621
528.27,       1178.321
529.02,       1114.691
529.77,       1020.462
530.52,       921.9756
531.28,       863.3164
532.03,       853.4014
532.79,       878.4434
533.54,       912.3877
534.30,       912.1035
535.05,       865.6084
535.81,            787
536.56,       691.6641
537.32,       603.9189
538.08,       534.0859
538.83,       476.8818
539.59,       430.7441
540.35,       393.3428
541.11,       363.4854
541.87,       343.0127
542.63,       333.0991
543.39,       333.9902
544.15,        342.623
544.91,       354.3623
545.67,       360.2119
546.43,       347.9844
547.19,       314.5195
547.95,       263.0796
548.71,       200.5684
549.48,       138.6177
550.24,       82.83984
551.00,       33.39502
551.77,      -9.667969
552.53,      -47.69043
553.29,      -80.26758
554.06,      -105.5801
554.82,      -120.4688
555.59,      -121.2266
556.36,      -108.5928
557.12,      -85.55469
557.89,      -60.04639
558.66,      -43.71777
559.42,      -39.98242
560.19,       -46.9873
560.96,       -58.0249
561.73,      -61.56885
562.50,      -54.59863
563.27,      -40.11719
564.04,       -25.2041
564.81,      -20.86816
565.58,      -29.99219
566.35,      -50.23047
567.12,      -72.99365
567.89,      -84.67236
568.66,      -83.01953
569.43,      -72.00439
570.21,      -64.04785
570.98,      -79.38867
571.75,        -119.98
572.53,      -175.9751
573.30,      -231.1621
574.07,      -260.0571
574.85,      -256.5029
575.62,      -230.8247
576.40,      -191.4155
577.17,      -151.7144
577.95,      -119.2842
578.73,      -91.28662
579.50,      -76.20605
580.28,      -87.16309
581.06,      -123.8994
581.84,      -181.6758
582.62,      -243.0254
583.39,      -279.0547
584.17,      -282.1211
584.95,      -259.1406
585.73,      -222.6567
586.51,      -194.7368
587.29,      -182.2896
588.07,      -178.9238
588.86,      -179.9585
589.64,      -177.4785
590.42,      -169.6743
591.20,       -162.418
591.98,      -156.9063
592.77,      -153.0889
593.55,       -152.459
594.33,      -154.2314
595.12,      -162.2241
595.90,      -183.9834
596.69,      -217.6787
597.47,      -256.0815
598.26,      -291.1494
599.04,      -310.6123
599.83,      -310.4839
600.62,      -296.5142
601.40,      -265.7637
602.19,      -213.7578
602.98,      -145.7607
603.77,      -67.22656
604.55,     -0.6738281
605.34,       19.07129
606.13,      -13.97461
606.92,      -88.53711
607.71,      -179.7549
608.50,      -246.1826
609.29,      -275.1543
610.08,      -277.1211
610.87,      -263.2046
611.67,      -253.4141
612.46,      -254.1396
613.25,      -256.1455
614.04,      -258.5547
614.84,      -261.9111
615.63,      -263.7783
616.42,      -265.1123
617.22,       -258.291
618.01,      -229.2822
618.81,      -177.4678
619.60,      -110.1177
620.40,         -38.25
621.19,        20.6377
621.99,       59.73291
622.78,       82.56152
623.58,       88.88672
624.38,       79.70996
625.18,       58.01563
625.97,       24.45313
626.77,      -12.01855
627.57,      -36.97461
628.37,      -46.61035
629.17,       -42.9375
629.97,      -33.68262
630.77,      -32.99805
631.57,      -44.52637
632.37,      -64.02148
633.17,      -85.41064
633.97,      -98.94043
634.77,      -101.8984
635.58,       -97.6084
636.38,      -90.51611
637.18,      -87.27002
637.98,      -89.62256
638.79,      -95.32471
639.59,      -100.6304
640.40,      -99.71924
641.20,       -91.7832
642.00,      -79.81738
642.81,      -67.94824
643.62,      -62.42676
644.42,      -64.82129
645.23,       -72.5498
646.03,      -83.74854
646.84,       -95.3623
647.65,      -105.8569
648.46,      -116.2969
649.26,       -124.127
650.07,      -125.5928
650.88,      -120.1123
651.69,      -107.5283
652.50,      -93.77539
653.31,      -88.64355
654.12,      -94.02881
654.93,      -108.2544
655.74,      -121.8804
656.55,      -119.3486
657.36,      -98.39307
658.17,      -64.38379
658.98,      -31.06543
659.80,       -20.2749
660.61,      -36.30664
661.42,      -71.33398
662.23,      -110.8428
663.05,      -131.9282
663.86,      -127.8467
664.68,      -104.7686
665.49,       -72.3916
666.31,      -46.45898
667.12,      -32.10059
667.94,      -25.43652
668.75,      -20.50537
669.57,      -7.750977
670.39,       13.93994
671.20,        39.3125
672.02,       60.19141
672.84,        64.6416
673.66,       50.69336
674.47,        24.0918
675.29,      -7.367188
676.11,      -31.79395
676.93,      -44.71191
677.75,      -49.05469
678.57,      -45.94629
679.39,       -37.5127
680.21,      -26.18555
681.03,      -12.21191
681.85,      0.9335938
682.68,       7.116211
683.50,       5.554688
684.32,     -0.9648438
685.14,       -11.2334
685.96,      -22.23633
686.79,      -32.41846
687.61,      -44.22217
688.44,      -50.49072
689.26,      -40.15674
690.08,      -12.94678
690.91,       28.59717
691.73,       65.99805
692.56,       69.67822
693.39,       34.78027
694.21,       -30.0332
695.04,      -98.15723
695.87,       -126.877
696.69,      -106.1494
697.52,      -47.35156
698.35,       21.88574
699.18,       56.60547
700.00,       46.11133
700.83,       3.767578
701.66,      -43.73145
702.49,      -53.41504
703.32,      -16.66553
704.15,       49.64551
704.98,        119.189
705.81,       151.0479
706.64,       135.1416
707.47,       87.20557
708.31,       25.33887
709.14,      -22.47656
709.97,      -45.77051
710.80,      -52.92773
711.64,      -46.91504
712.47,      -31.86816
713.30,      -12.47949
714.14,       11.28271
714.97,        33.7251
715.81,       44.29004
716.64,        40.8999
717.48,       27.68848
718.31,       5.536133
719.15,      -22.89355
