SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 12:07:42
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,       -25.3252
300.89,       1.282227
301.51,        49.8252
302.13,       100.1855
302.75,       119.4736
303.37,         100.75
303.99,       55.70801
304.62,       3.348145
305.24,      -26.25098
305.86,      -23.96094
306.48,       1.306641
307.11,       38.54688
307.73,       70.50977
308.36,       90.14355
308.98,       100.4805
309.61,       105.7881
310.23,       112.8438
310.86,        122.209
311.48,       130.4038
312.11,       128.8037
312.74,       104.6563
313.36,       58.54004
313.99,     -0.9082031
314.62,       -58.4248
315.25,      -90.87305
315.88,      -92.12207
316.51,      -70.04004
317.14,      -32.48145
317.77,       7.347656
318.40,        41.9873
319.03,       72.93604
319.66,       93.66113
320.29,       94.49805
320.93,       75.13672
321.56,       38.72266
322.19,      -4.237305
322.83,      -35.71191
323.46,      -49.69141
324.10,      -49.43652
324.73,      -38.44092
325.37,      -23.95654
326.00,      -9.307129
326.64,       7.385742
327.27,       24.16016
327.91,       37.61523
328.55,       46.80762
329.19,       51.11719
329.83,       52.13379
330.46,       53.80176
331.10,       57.03223
331.74,       60.62549
332.38,       64.00781
333.02,       65.88086
333.66,       66.25098
334.31,       66.93994
334.95,       67.26367
335.59,        65.7417
336.23,       62.67139
336.87,       58.05957
337.52,       56.22754
338.16,       64.06836
338.81,       81.96094
339.45,       107.0381
340.09,       130.5981
340.74,        139.355
341.39,       129.5527
342.03,       103.4634
342.68,       70.10449
343.33,       44.27637
343.97,       30.21289
344.62,       26.04395
345.27,       21.78711
345.92,      0.5683594
346.57,      -38.58887
347.22,      -87.48145
347.87,      -128.4609
348.52,       -134.375
349.17,      -100.4834
349.82,      -38.14551
350.47,       34.80273
351.12,       90.48145
351.77,       118.7559
352.43,       125.5273
353.08,       115.9004
353.73,       99.42578
354.39,       80.59375
