SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 12:06:56
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,       61.09229
300.89,       132.0908
301.51,       214.8564
302.13,       287.4668
302.75,       315.4326
303.37,       291.1475
303.99,       225.0596
304.62,        135.375
305.24,       52.86426
305.86,      -9.510254
306.48,      -55.75781
307.11,      -86.25098
307.73,      -103.9316
308.36,      -110.5098
308.98,      -103.2715
309.61,      -84.28711
310.23,      -59.15479
310.86,      -31.13672
311.48,       -2.18457
312.11,       23.68359
312.74,        42.5498
313.36,       53.00586
313.99,       54.14551
314.62,       50.21094
315.25,       49.18652
315.88,        52.5498
316.51,       58.50391
317.14,       61.63574
317.77,       52.40625
318.40,       30.46191
319.03,       2.056641
319.66,      -25.63135
320.29,      -42.11816
320.93,      -43.59424
321.56,      -33.69727
322.19,      -13.04785
322.83,       17.79395
323.46,       54.39551
324.10,       92.54004
324.73,       124.2227
325.37,       137.1104
326.00,       128.7427
326.64,        105.146
327.27,       68.17285
327.91,       21.36426
328.55,      -29.20508
329.19,      -81.67578
329.83,      -119.6865
330.46,      -118.1621
331.10,      -75.17334
331.74,     -0.7514648
332.38,        81.2207
333.02,       131.5283
333.66,       139.5996
334.31,       117.1396
334.95,       76.94287
335.59,       41.29297
336.23,       19.41064
336.87,       4.478516
337.52,      0.5664063
338.16,       14.30664
338.81,       44.24316
339.45,       89.15332
340.09,       134.9048
340.74,       157.4268
341.39,         151.02
342.03,       121.1367
342.68,       81.31104
343.33,       54.68018
343.97,       48.09375
344.62,       56.10156
345.27,       69.24609
345.92,       71.78027
346.57,       60.38672
347.22,       41.26074
347.87,       23.80859
348.52,       22.47168
349.17,        39.1416
349.82,        65.8457
350.47,       93.08691
351.12,       106.7051
351.77,       102.3027
352.43,       85.58496
353.08,       58.46973
353.73,       23.69629
354.39,      -14.12842
355.04,      -53.33105
355.70,      -84.46533
356.35,      -92.72949
357.01,      -76.08301
357.66,      -40.15039
358.32,       5.317383
358.98,       43.83789
359.63,       68.89063
360.29,       83.74609
360.95,       87.27539
361.61,       79.00293
362.27,       61.04395
362.93,       33.55664
363.59,       4.912109
364.25,      -10.66602
364.91,      -10.39844
365.57,       2.008789
366.23,       18.55908
366.89,       24.94873
367.55,       17.60303
368.22,       2.092773
368.88,      -18.36035
369.54,       -38.3916
370.21,      -55.23047
370.87,      -71.56445
371.54,      -82.61035
372.20,      -80.23145
372.87,      -64.68164
373.53,      -38.57764
374.20,      -13.32227
374.87,      -7.944824
375.53,      -25.43262
376.20,      -58.43994
376.87,      -95.03906
377.54,      -115.6504
378.21,      -114.6836
378.87,      -99.32031
379.54,      -73.68262
380.21,      -44.27588
380.88,      -16.20752
381.56,       11.20508
382.23,       30.85986
382.90,       30.98926
383.57,       11.31592
384.24,      -22.52734
384.92,      -60.96973
385.59,      -87.74805
386.26,      -97.49219
386.94,      -95.46387
387.61,      -80.34961
388.29,      -51.20557
388.96,      -11.50732
389.64,       37.89209
390.31,       81.25195
390.99,       93.52734
391.67,       70.67188
392.34,        19.3208
393.02,       -39.0542
393.70,      -68.72998
394.38,      -61.12109
395.06,      -26.29346
395.74,       16.71875
396.42,        36.4375
397.10,       24.88672
397.78,      -7.061523
398.46,      -45.11328
399.14,      -66.92676
399.82,      -66.01855
400.50,       -50.2666
401.19,      -27.76074
401.87,       -10.7959
402.55,      -3.175781
403.24,     0.05078125
403.92,       1.985352
404.61,       6.970703
405.29,       16.08203
405.98,       25.73047
406.66,       35.75586
407.35,       46.87793
408.03,       58.11816
408.72,       69.55518
409.41,       76.10889
410.10,       69.63135
410.79,       49.26611
411.47,       17.51563
412.16,      -16.61865
412.85,      -38.66895
413.54,      -45.14307
414.23,      -39.28516
414.92,      -29.94727
415.61,      -32.25098
416.31,      -48.78223
417.00,      -73.20996
417.69,      -96.40381
418.38,       -103.998
419.08,      -92.69531
419.77,      -69.07275
420.46,      -38.44189
421.16,      -8.638672
421.85,       15.79883
422.55,       36.14453
423.24,       48.44336
423.94,       46.50488
424.64,       30.78809
425.33,        4.28125
426.03,      -25.34619
426.73,      -45.47021
427.42,      -52.05664
428.12,      -48.16016
428.82,      -36.73828
429.52,      -23.01563
430.22,      -11.16016
430.92,      -2.557617
431.62,     -0.4492188
432.32,      -9.634766
433.02,      -31.24219
433.72,      -62.98242
434.43,      -105.5605
435.13,      -159.6582
435.83,      -221.5952
436.53,      -287.9297
437.24,      -347.1099
437.94,      -381.5269
438.65,      -389.1719
439.35,      -377.8521
440.06,      -360.2041
440.76,      -357.0898
441.47,      -376.1309
442.17,      -412.2109
442.88,      -466.3506
443.59,      -538.4082
444.29,      -625.9658
445.00,      -730.9746
445.71,      -841.3013
446.42,       -935.981
447.13,      -1012.933
447.84,       -1078.89
448.55,      -1152.188
449.26,      -1263.682
449.97,      -1418.228
450.68,      -1601.065
451.39,      -1794.632
452.10,      -1972.055
452.82,      -2120.293
453.53,      -2241.921
454.24,      -2332.383
454.95,      -2386.964
455.67,      -2406.466
456.38,      -2391.042
457.10,      -2350.512
457.81,      -2302.609
458.53,      -2253.561
459.24,      -2202.495
459.96,      -2146.579
460.68,      -2077.822
461.39,      -1996.426
462.11,      -1910.165
462.83,      -1822.317
463.55,      -1736.396
464.27,      -1655.066
464.98,      -1576.521
465.70,      -1508.296
466.42,      -1462.086
467.14,      -1438.429
467.86,      -1434.774
468.58,      -1433.883
469.31,      -1407.459
470.03,       -1351.39
470.75,      -1274.862
471.47,      -1200.283
472.20,      -1165.123
472.92,      -1175.378
473.64,      -1213.836
474.37,      -1260.949
475.09,      -1285.442
475.82,      -1277.163
476.54,      -1249.014
477.27,      -1198.705
477.99,      -1123.028
478.72,      -1027.957
479.45,       -913.999
480.17,       -811.958
480.90,        -771.25
481.63,      -799.2617
482.36,      -882.9077
483.09,      -976.5454
483.81,      -1004.902
484.54,      -951.1523
485.27,      -837.2153
486.00,      -708.6943
486.73,      -640.1484
487.47,      -650.4902
488.20,      -716.1846
488.93,      -800.6426
489.66,      -845.3809
490.39,      -835.1055
491.13,        -790.71
491.86,      -738.0371
492.59,      -716.9092
493.33,      -737.8838
494.06,      -784.2617
494.80,      -840.3828
495.53,      -883.5957
496.27,      -905.2998
497.00,      -913.2461
497.74,      -909.8696
498.48,       -898.145
499.22,      -881.2256
499.95,      -858.2891
500.69,      -835.1104
501.43,      -821.1914
502.17,      -820.4365
502.91,      -834.1826
503.65,      -857.6406
504.39,      -881.9092
505.13,      -903.4438
505.87,      -920.2798
506.61,      -940.3457
507.35,      -977.1719
