SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 12:35:41
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,       51.18164
300.89,       66.81445
301.51,        71.9834
302.13,       67.77344
302.75,       56.81641
303.37,       41.75586
303.99,       22.43164
304.62,       3.833008
305.24,      -5.778809
305.86,      -4.382813
306.48,       6.517578
307.11,       22.85547
307.73,       37.17285
308.36,       46.48047
308.98,        51.8252
309.61,       54.06641
310.23,       54.73926
310.86,       54.91406
311.48,       54.87793
312.11,       53.37793
312.74,       49.04297
313.36,       41.91309
313.99,       31.43945
314.62,       23.39355
315.25,       26.88184
315.88,       41.93848
316.51,        65.0459
317.14,       83.08008
317.77,       75.25391
318.40,       38.24707
319.03,      -20.32227
319.66,      -84.24658
320.29,      -127.7021
320.93,      -142.9658
321.56,      -136.0859
322.19,       -117.417
322.83,      -104.6025
323.46,       -102.625
324.10,       -105.793
324.73,       -107.376
325.37,      -96.84521
326.00,      -72.69531
326.64,      -41.42285
327.27,      -9.644531
327.91,       13.51367
328.55,       24.99902
329.19,       28.23242
329.83,       24.52686
330.46,        15.8833
331.10,        4.59668
331.74,      -9.366211
332.38,      -21.18066
333.02,      -23.10156
333.66,      -14.15625
334.31,       3.241211
334.95,       22.75732
335.59,       33.68213
336.23,       33.05859
336.87,       24.07031
337.52,       10.39258
338.16,      -1.918945
338.81,      -9.904297
339.45,      -14.29102
340.09,      -14.64746
340.74,      -10.39697
341.39,      -1.708984
342.03,       10.93018
342.68,       27.33398
343.33,       47.11523
343.97,       68.18359
344.62,       88.19531
345.27,       103.1689
345.92,       107.2715
346.57,       100.0273
347.22,       85.28613
