SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 12:47:31
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,       41.36816
300.89,      -4.251953
301.51,       -77.9209
302.13,      -152.2959
302.75,      -184.8252
303.37,      -165.4609
303.99,      -106.8516
304.62,      -35.02539
305.24,       7.952637
305.86,       10.85107
306.48,      -14.24414
307.11,      -47.01758
307.73,      -54.40723
308.36,       -29.1582
308.98,       15.21094
309.61,       61.46484
310.23,       83.30859
310.86,       74.28516
311.48,       45.99219
312.11,       8.567383
312.74,      -22.99512
313.36,      -42.08984
313.99,       -53.5293
314.62,      -54.58984
315.25,      -40.53613
315.88,      -13.38281
316.51,       24.56152
317.14,       62.07813
317.77,       80.41211
318.40,       75.48535
319.03,       53.00684
319.66,       21.73828
320.29,      -3.121094
320.93,      -15.90527
321.56,      -20.62695
322.19,      -17.15137
322.83,       -5.71875
323.46,       11.62207
324.10,       34.72461
324.73,       57.14258
325.37,       68.08301
326.00,       64.79883
326.64,       49.21777
327.27,        27.0957
327.91,        8.59668
328.55,      -2.708008
329.19,      -8.356445
329.83,       -11.7085
330.46,      -18.39404
331.10,      -29.68848
331.74,      -43.75977
332.38,      -54.98926
333.02,      -55.43262
333.66,      -43.43848
334.31,      -20.53125
334.95,        3.37793
335.59,       13.05664
336.23,       5.241699
336.87,      -17.53613
337.52,      -39.74414
338.16,      -36.32813
338.81,      -3.198242
339.45,       52.43457
340.09,        106.916
340.74,       122.3315
341.39,       92.00049
342.03,       28.79785
342.68,       -38.6377
343.33,      -64.24316
343.97,      -38.15039
344.62,        22.9375
345.27,       93.64355
345.92,       133.4785
346.57,        130.625
347.22,       98.90137
347.87,       50.64941
348.52,       5.170898
349.17,      -28.67676
349.82,      -56.11719
350.47,      -74.99805
351.12,      -80.98242
351.77,      -74.97266
352.43,      -58.00586
353.08,       -35.1582
353.73,      -16.59473
354.39,      -5.479492
355.04,       1.334961
355.70,       1.907227
356.35,      -5.783203
357.01,      -19.75684
357.66,      -39.56641
358.32,      -53.40234
358.98,      -41.94336
359.63,      -3.401367
360.29,       54.69922
360.95,       114.7168
361.61,       147.9912
362.27,         147.29
362.93,       121.6494
363.59,       82.96387
364.25,       51.01855
364.91,        33.3252
365.57,       24.67969
366.23,       24.14258
366.89,       29.99902
367.55,       40.30078
368.22,       56.42871
368.88,       74.40332
369.54,       86.55469
370.21,       91.05762
370.87,        89.2334
371.54,       83.97461
372.20,       81.02148
372.87,       82.20703
373.53,        85.5625
374.20,       90.74805
374.87,       97.37012
375.53,         104.25
376.20,       110.8984
376.87,       114.9834
377.54,       112.6182
378.21,       103.0234
378.87,       87.64063
379.54,       67.73926
380.21,       45.66602
380.88,       23.05664
381.56,     -0.1015625
382.23,      -21.06787
382.90,      -35.81641
383.57,      -43.81641
384.24,       -45.7793
384.92,      -45.47754
385.59,      -49.73438
386.26,      -59.37207
386.94,      -71.12793
387.61,      -81.62012
388.29,        -85.125
388.96,      -80.30273
389.64,      -70.86621
390.31,      -55.92383
390.99,      -33.71387
391.67,      -6.242188
392.34,       25.39063
393.02,       51.39648
393.70,        56.0459
394.38,       38.02441
395.06,       3.790039
395.74,      -32.58105
396.42,      -48.09961
397.10,      -37.24512
397.78,      -8.258789
398.46,       30.47949
399.14,       65.00879
399.82,        89.1123
400.50,       106.7588
401.19,       113.9805
401.87,       104.5449
402.55,       79.65918
403.24,       41.37988
403.92,       1.417969
404.61,      -20.35742
405.29,      -19.85254
405.98,      -3.100586
406.66,       20.10938
407.35,       32.64648
408.03,       29.73535
408.72,        18.2168
409.41,        0.21875
410.10,      -20.82227
410.79,       -41.6377
411.47,      -63.98535
412.16,      -79.04297
412.85,      -72.27051
413.54,      -42.55859
414.23,       5.611328
414.92,       56.27441
415.61,       83.16895
416.31,       80.31543
417.00,       55.10059
417.69,       22.10059
418.38,       5.798828
419.08,       12.31348
419.77,        32.7832
420.46,       57.18555
421.16,       70.04297
421.85,       65.89453
422.55,       50.07422
423.24,       26.23242
423.94,      -1.147461
424.64,      -27.61816
425.33,      -50.58984
426.03,      -68.75977
426.73,      -80.39063
427.42,       -83.3584
428.12,      -78.20996
428.82,      -57.05762
429.52,      -7.585938
430.22,       66.85449
430.92,       155.8662
431.62,       237.8887
432.32,       280.0127
433.02,       274.3525
433.72,       232.3096
434.43,       167.1816
435.13,       101.4541
435.83,       47.12305
436.53,       2.326172
437.24,      -23.40527
437.94,      -17.35352
438.65,       22.16406
439.35,        94.3252
440.06,       183.9326
440.76,       264.0576
441.47,       326.5693
442.17,       374.4756
442.88,       418.5605
443.59,       479.4697
444.29,       558.5811
445.00,       643.0508
445.71,       717.0049
446.42,        757.792
447.13,       758.1357
447.84,        725.124
448.55,       665.2422
449.26,       588.8242
449.97,       502.9063
450.68,       408.4492
451.39,       310.8818
452.10,        218.002
452.82,       132.8584
453.53,       56.15625
454.24,      -11.33789
454.95,      -71.40039
455.67,      -124.4688
456.38,      -167.5869
457.10,      -205.9961
457.81,      -248.6553
458.53,      -294.8438
459.24,      -340.8057
459.96,      -371.6191
460.68,      -363.5859
461.39,      -312.7471
462.11,      -227.5273
462.83,      -126.0967
463.55,      -37.39258
464.27,       29.09082
464.98,       78.45215
465.70,       121.1035
466.42,       175.5947
467.14,       245.5908
467.86,       323.1045
468.58,       397.5137
469.31,       452.7803
470.03,       486.3623
470.75,       506.8174
471.47,         523.21
472.20,       549.0508
472.92,        588.457
473.64,       635.1758
474.37,       688.6201
475.09,       748.1504
475.82,       809.6777
476.54,       871.6982
477.27,         921.04
477.99,       937.2754
478.72,        916.999
479.45,       865.9277
480.17,       801.5195
480.90,       752.3516
481.63,       727.2881
482.36,       721.3398
483.09,       721.2715
483.81,       704.7871
484.54,       666.1963
485.27,       611.5381
486.00,       556.6436
486.73,       525.6572
487.47,       523.6084
488.20,       544.2832
488.93,       565.4404
489.66,       551.9551
490.39,       498.7236
491.13,       418.5078
491.86,       343.4844
492.59,       324.2441
493.33,       371.5244
494.06,       468.5703
494.80,       582.2412
495.53,       659.9473
496.27,        686.502
497.00,       675.7891
497.74,       652.4639
498.48,       656.2275
499.22,       698.8955
499.95,       770.3701
500.69,       850.7285
501.43,       908.5674
502.17,       939.1543
502.91,       956.3281
503.65,       987.7168
504.39,       1074.851
505.13,       1226.084
505.87,       1426.478
506.61,       1647.144
507.35,       1842.543
508.09,       2000.115
508.83,       2133.205
509.58,        2262.56
510.32,       2421.453
511.06,       2620.302
511.81,       2849.348
512.55,       3094.821
513.30,       3336.027
514.04,       3565.762
514.79,       3787.365
515.53,       4012.247
516.28,       4258.831
517.02,       4526.963
517.77,       4806.191
518.52,       5073.485
519.27,       5293.384
520.01,       5461.959
520.76,       5597.429
521.51,       5724.827
522.26,       5883.176
523.01,       6086.158
523.76,       6322.131
524.51,       6589.527
525.26,       6884.109
526.01,       7196.797
526.76,       7524.931
527.51,       7842.444
528.27,       8109.295
529.02,       8314.516
529.77,        8462.15
530.52,       8579.409
531.28,       8713.445
532.03,       8877.465
532.79,        9063.37
533.54,       9240.616
534.30,       9359.849
535.05,       9411.418
535.81,        9408.64
536.56,       9398.417
537.32,       9454.001
538.08,       9587.819
538.83,        9777.62
539.59,       9957.336
540.35,        10021.1
541.11,       9950.782
541.87,       9785.621
542.63,       9603.123
543.39,       9526.509
544.15,        9586.03
544.91,       9740.021
545.67,       9929.744
546.43,       10061.05
547.19,       10102.26
547.95,       10080.16
548.71,       10015.43
549.48,       9941.523
550.24,       9870.924
551.00,       9788.069
551.77,       9690.867
552.53,       9581.104
553.29,       9457.631
554.06,       9323.801
554.82,       9176.827
555.59,       9008.647
556.36,       8817.594
557.12,       8606.266
557.89,       8377.341
558.66,       8135.001
559.42,       7883.975
560.19,        7628.61
560.96,        7372.92
561.73,       7121.716
562.50,       6878.692
563.27,       6644.763
564.04,       6426.743
564.81,       6233.447
565.58,       6064.456
566.35,       5915.879
567.12,       5771.998
567.89,       5608.546
568.66,       5418.708
569.43,       5205.921
570.21,       4985.826
570.98,       4785.186
571.75,       4610.114
572.53,       4453.795
573.30,       4297.841
574.07,        4112.56
574.85,       3893.571
575.62,       3653.382
576.40,       3416.765
577.17,       3221.431
577.95,       3077.051
578.73,       2972.452
579.50,       2885.391
580.28,        2780.89
581.06,       2647.098
581.84,       2489.865
582.62,       2325.953
583.39,       2182.731
584.17,        2065.99
584.95,       1968.246
585.73,        1865.07
586.51,        1718.48
587.29,       1524.745
588.07,       1300.336
588.86,       1084.859
589.64,       939.2871
590.42,        877.125
591.20,        879.207
591.98,        906.167
592.77,       894.8066
593.55,       826.0488
594.33,       714.6992
595.12,       587.3564
595.90,       488.6924
596.69,       428.9951
597.47,        391.498
598.26,       352.6563
599.04,        276.415
599.83,       157.8701
600.62,        18.0625
601.40,      -118.2168
602.19,      -215.7959
602.98,        -260.21
603.77,      -257.8555
604.55,       -211.665
605.34,      -129.3037
606.13,      -16.18066
606.92,       128.0088
607.71,       290.3789
608.50,       453.2197
609.29,       601.8203
610.08,       718.1846
610.87,       806.7051
611.67,        882.417
612.46,       940.4414
613.25,       976.0967
614.04,       944.9619
614.84,        777.415
615.63,        475.918
616.42,       79.29492
617.22,      -322.3857
618.01,      -588.8096
618.81,      -685.2334
619.60,      -651.9395
620.40,      -551.0635
621.19,      -491.0898
621.99,      -503.4717
622.78,      -545.0664
623.58,      -603.2246
624.38,      -658.9502
625.18,      -694.4014
625.97,      -723.5283
626.77,      -700.8701
627.57,      -546.4873
628.37,      -262.3164
629.17,       111.7246
629.97,       483.4766
630.77,       706.1553
631.57,       738.4453
632.37,        619.083
633.17,       401.6914
633.97,       179.2676
634.77,      -8.711914
635.58,      -179.3311
636.38,      -328.7422
637.18,      -454.6729
637.98,      -555.7891
638.79,      -618.2334
639.59,      -648.6348
640.40,      -668.0996
641.20,      -683.5557
642.00,      -696.1162
642.81,      -701.7881
643.62,      -689.7178
644.42,      -660.4678
645.23,      -622.1318
646.03,      -586.7725
646.84,      -570.6152
647.65,      -577.6914
648.46,      -603.3379
649.26,      -635.2891
650.07,      -654.4766
650.88,      -654.4102
651.69,      -637.3057
652.50,      -613.9619
653.31,      -602.2837
654.12,      -606.2251
654.93,      -621.9844
655.74,      -632.7969
656.55,      -612.2383
657.36,       -557.498
658.17,      -478.5986
658.98,      -403.8799
659.80,      -377.7832
660.61,      -408.4004
661.42,      -480.2373
662.23,      -561.4375
663.05,      -600.7266
663.86,      -585.0225
664.68,      -530.6982
665.49,      -460.3877
666.31,      -411.1465
667.12,      -394.2236
667.94,      -396.4912
668.75,      -409.2539
669.57,      -419.3052
670.39,      -420.9365
671.20,      -420.6221
672.02,      -415.4248
672.84,      -398.5557
673.66,      -371.2529
674.47,      -335.9307
675.29,      -302.7051
676.11,      -289.0137
676.93,      -298.2285
677.75,      -323.7158
678.57,      -357.4932
679.39,      -386.4463
680.21,      -404.3828
681.03,         -413.5
681.85,      -411.0527
682.68,      -393.2109
683.50,      -361.5791
684.32,      -319.0137
685.14,       -273.291
685.96,      -237.1748
686.79,      -215.2881
687.61,      -205.4209
688.44,      -206.4102
689.26,      -215.3037
690.08,      -228.4775
690.91,      -244.3584
691.73,      -257.7832
692.56,      -260.3779
693.39,      -250.8599
694.21,      -233.4561
695.04,      -209.6416
695.87,      -182.5234
696.69,      -155.9561
697.52,       -129.791
698.35,      -115.2988
699.18,      -130.1758
700.00,      -174.3896
700.83,      -239.6631
701.66,      -305.5889
702.49,      -339.0107
703.32,      -332.3223
704.15,      -296.9209
704.98,      -245.6211
705.81,      -200.7012
706.64,      -170.3789
707.47,      -146.2646
708.31,      -133.5791
709.14,      -140.2549
709.97,      -164.4297
710.80,      -206.3486
711.64,       -244.042
712.47,      -240.2002
713.30,      -190.7461
714.14,      -108.8271
714.97,      -26.50781
715.81,       3.110352
716.64,      -30.36719
717.48,      -105.4961
718.31,      -196.7188
719.15,      -262.8398
719.98,      -288.9609
720.82,      -288.9424
721.66,      -261.6494
722.49,      -205.3799
723.33,      -127.8506
724.17,      -31.74414
725.01,        56.0791
725.84,       91.64941
726.68,       67.01367
727.52,      -4.848633
728.36,      -95.37988
729.20,      -156.0415
730.04,      -171.7622
730.88,      -155.2192
731.72,      -118.7686
732.56,      -83.86084
733.40,      -59.60107
734.25,      -39.69434
735.09,      -25.33496
735.93,       -19.6543
736.77,      -22.63379
737.61,      -35.37402
738.46,      -55.73486
739.30,      -77.68604
740.14,      -98.72607
740.99,      -119.4194
741.83,       -136.249
742.68,      -145.0752
