SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 12:42:05
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,       41.97754
300.89,       20.99414
301.51,      -25.28027
302.13,      -76.84863
302.75,      -102.0869
303.37,      -92.82324
303.99,      -58.97949
304.62,       -16.3584
305.24,       9.791992
305.86,       12.47461
306.48,    -0.01660156
307.11,      -16.96191
307.73,      -21.61719
308.36,      -9.668945
308.98,       12.07129
309.61,       36.33887
310.23,       52.35645
310.86,       57.18652
311.48,       55.66699
312.11,       51.08691
312.74,       48.12012
313.36,       48.61133
313.99,       49.78711
314.62,       52.75781
315.25,       60.17676
315.88,       70.58398
316.51,       81.91113
317.14,       88.19238
317.77,        79.6377
318.40,       55.15527
319.03,       20.19824
319.66,      -19.81982
320.29,      -56.70801
320.93,      -85.17139
321.56,      -105.0986
322.19,      -111.4912
322.83,      -97.16113
323.46,      -63.19727
324.10,      -14.75586
324.73,       39.04199
325.37,       83.67041
326.00,       113.0996
326.64,       129.4395
327.27,       130.8486
327.91,       116.3926
328.55,       88.33008
329.19,       47.50781
329.83,       4.602539
330.46,      -23.31543
331.10,      -31.96924
331.74,      -23.84766
332.38,      -9.700195
333.02,      -8.660156
333.66,      -24.64746
334.31,      -51.17676
334.95,       -77.2915
335.59,      -85.35498
336.23,      -71.55322
336.87,      -43.02734
337.52,      -8.293945
338.16,       19.18359
338.81,       35.53906
339.45,       46.11035
340.09,       52.14941
340.74,       56.33643
341.39,        59.1709
342.03,       55.27051
342.68,       51.34375
343.33,       59.09375
343.97,       78.60352
344.62,       108.4814
345.27,       127.8682
345.92,       102.4893
346.57,       29.87891
347.22,      -75.63379
347.87,      -178.6406
348.52,      -223.1045
349.17,      -196.3447
349.82,      -116.5605
350.47,      -14.77051
351.12,       58.74219
351.77,        87.1123
352.43,       82.55176
353.08,       58.80957
353.73,       38.91309
354.39,        30.9248
355.04,        27.5752
355.70,        22.3125
